BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000350,04.02.2026,PRJ0001664,464*293*4MM BRONZ TEMPERLİ CAM,290.00,95.00,"27,550.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000350,04.02.2026,PRJ0001665,1194*293*4MM BRONZ TEMPERLİ CAM,203.00,243.00,"49,329.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000350,04.02.2026,PRJ0001840,464*293*4MM BRONZ TEMPERLİ CAM,12.00,95.00,"1,140.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000350,04.02.2026,PRJ0001841,465*255*4MM BRONZ TEMPERLİ CAM,24.00,85.00,"2,040.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000419,10.02.2026,MHT0000010,MUHTELİF CAM,1.00,155.00,155.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000562,10.02.2026,OF00006287,10MM BRONZ CAM BİZOTE+RODAJLI Ø400MM (GRAD YAN SEHPA İÇİN),15.00,430.00,"6,450.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000596,12.02.2026,OF00006287,10MM BRONZ CAM BİZOTE+RODAJLI Ø400MM (GRAD YAN SEHPA İÇİN),34.00,430.00,"14,620.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000514,17.02.2026,PRJ0001670,2648*340*4MM BRONZ TEMPERLİ CAM,2.00,630.00,"1,260.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000514,17.02.2026,PRJ0001748,1211*340*4MM BRONZ CAM TEMPERLİ,3.00,290.00,870.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000514,17.02.2026,PRJ0001818,2642*437*4MM BRONZ CAM TEMPERLİ,13.00,810.00,"10,530.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000514,17.02.2026,PRJ0001847,1210*464*4MM BRONZ CAM TEMPERLİ,11.00,395.00,"4,345.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000514,17.02.2026,PRJ0001848,1210*439*4MM BRONZ CAM TEMPERLİ,6.00,375.00,"2,250.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000527,18.02.2026,MHT0000010,MUHTELİF CAM,1.00,660.00,660.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000527,18.02.2026,MHT0000010,MUHTELİF CAM,1.00,740.00,740.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000527,18.02.2026,PRJ0001847,1210*464*4MM BRONZ CAM TEMPERLİ,1.00,395.00,395.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000744,24.02.2026,MHT0000010,MUHTELİF CAM,1.00,"2,400.00","2,400.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000744,24.02.2026,MHT0000010,MUHTELİF CAM,1.00,"2,275.00","2,275.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000744,24.02.2026,MHT0000011,MUHTELİF AYNA,1.00,875.00,875.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000744,24.02.2026,MHT0000011,MUHTELİF AYNA,1.00,675.00,675.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000744,24.02.2026,OF00006287,10MM BRONZ CAM BİZOTE+RODAJLI Ø400MM (GRAD YAN SEHPA İÇİN),11.00,550.00,"6,050.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000744,24.02.2026,PRJ0001704,1198*578*4MM RODAJLI DÜZ AYNA,1.00,485.00,485.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
