BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000273,04.02.2026,MKN00000013,FAB.GNL MKN BKM SARF MAL.(KUMŞ DERİ KESİM MAKİNASI),1.00,"1,458.33","1,458.33",ESFA MAKİNA SEYİT KÖSE
000000000000539,05.02.2026,OF00001460,"9,5*700 LA SPZ687 LW V KAYIŞ DAİRE TESTERE",10.00,100.00,"1,000.00",ÖZDEMİR KAYIŞ MURAT ÖZDEMİR
000000000000008,16.02.2026,OF00006548,CNC MAK.VAKUM FİNCANI (VCBL-K1 140*115*85),15.00,"3,200.00","48,000.00",ÖMER FERRUH HEPŞEN
000000000000008,16.02.2026,OF00006549,CNC MAK.VAKUM FİNCANI (VCBL-K1 125*75*85),15.00,"3,200.00","48,000.00",ÖMER FERRUH HEPŞEN
000000000000054,16.02.2026,MKN00000002,FAB.GNL MKN BKM SARF MAL.(BOYAHANE BÖLÜMÜ),5.00,700.00,"3,500.00",SEMA COŞKUN-COŞKUN BOYA MAKİNE
000000000000054,16.02.2026,MKN00000002,FAB.GNL MKN BKM SARF MAL.(BOYAHANE BÖLÜMÜ),3.00,"1,300.00","3,900.00",SEMA COŞKUN-COŞKUN BOYA MAKİNE
000000000000054,16.02.2026,MKN00000002,FAB.GNL MKN BKM SARF MAL.(BOYAHANE BÖLÜMÜ),2.00,"1,300.00","2,600.00",SEMA COŞKUN-COŞKUN BOYA MAKİNE
000000000004146,16.02.2026,MKN00000007,FAB.GNL MKN BKM SARF MAL.(ARGON-AZOT-KARIŞIM-OKSİJEN GAZ),1.00,"1,800.00","1,800.00",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000005416,17.02.2026,MKN00000004,FAB.GNL MKN BKM SARF MAL.(LAZER CNC SAC KESİM),1.00,"3,555.50","3,555.50",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000016,18.02.2026,OF00006552,CNC BIÇAK (KARBÜR FREZE Ø6*20*S12MM Z3) 113.06.202,10.00,900.00,"9,000.00",EROLSAN MAKİNA KESİCİ TAKIMLAR SAN. VE TİC.AŞ.
000000000000016,18.02.2026,OF00006553,CNC BIÇAK (KARBÜR FREZE Ø8*26*S12MM Z3) 113.08.262,10.00,"1,700.00","17,000.00",EROLSAN MAKİNA KESİCİ TAKIMLAR SAN. VE TİC.AŞ.
000000000000016,18.02.2026,OF00006554,CNC BIÇAK (KARBÜR FREZE Ø9*26*S12MM),10.00,"1,800.00","18,000.00",EROLSAN MAKİNA KESİCİ TAKIMLAR SAN. VE TİC.AŞ.
000000000000016,18.02.2026,OF00006555,CNC BIÇAK (KARBÜR FREZE Ø10*35*S12MM Z3) 113.10.352,10.00,"2,600.00","26,000.00",EROLSAN MAKİNA KESİCİ TAKIMLAR SAN. VE TİC.AŞ.
000000000000016,18.02.2026,OF00006556,CNC BIÇAK (KARBÜR FREZE Ø12*32*S12MM Z3),10.00,900.00,"9,000.00",EROLSAN MAKİNA KESİCİ TAKIMLAR SAN. VE TİC.AŞ.
000000000000016,18.02.2026,OF00006557,CNC BIÇAK (KARBÜR FREZE Ø3*15*S12MM Z2) 112.03.152,10.00,650.00,"6,500.00",EROLSAN MAKİNA KESİCİ TAKIMLAR SAN. VE TİC.AŞ.
000000000000016,18.02.2026,OF00006558,CNC BIÇAK (KARBÜR FREZE Ø4*20*S12MM Z2) 112.03.152,10.00,750.00,"7,500.00",EROLSAN MAKİNA KESİCİ TAKIMLAR SAN. VE TİC.AŞ.
000000000000188,18.02.2026,OF00000679,"ŞERİT TESTERE BOY 5300MM 2,5LİK NORMAL",5.00,"1,150.00","5,750.00",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000188,18.02.2026,OF00000680,"ŞERİT TESTERE BOY 5300MM 2,0LİK NORMAL",5.00,"1,050.00","5,250.00",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000005918,20.02.2026,MKN00000007,FAB.GNL MKN BKM SARF MAL.(ARGON-AZOT-KARIŞIM-OKSİJEN GAZ),1.00,"7,678.06","7,678.06",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000064,24.02.2026,MHT0000009,MUHTELİF HIRDAVAT,2.00,"2,639.50","5,279.00",SEMA COŞKUN-COŞKUN BOYA MAKİNE
000000000000518,24.02.2026,OF00001048,KAPLAMA DİKİŞ MAKİNESİ HAVYA REZİSTANSI (ERTAN 151 B 220V 150W),3.00,"2,450.00","7,350.00",YASİN SARIBEL-GENÇLER REZİSTANS ISI ELEK.
000000000000475,27.02.2026,MHT0000009,MUHTELİF HIRDAVAT,2.00,200.00,400.00,RON MAKİNA VE ENDÜSTRİYEL ÜRÜNLER SAN.TİC.LTD.ŞTİ.
000000000000023,28.02.2026,MKN00000001,FAB.GNL MKN BKM SARF MAL.(TESTERE&BIÇAK&ŞERİT BİLEME),1.00,"24,810.00","24,810.00",SEYİT ALİ TÜRKSEVER (SETSAN BİLEME VE MAK.İMALAT)
000000000000002,02.02.2026,MKN00000012,FAB.GNL MKN BKM SARF MAL.(HOMAG KALİBRE MAKİNASI),1.00,"15,000.00","15,000.00",MEHMET ARI
000000000000010,06.02.2026,OF00001474,"ŞERİT TESTERE BOY 5300MM 2,5LIK ÇELİK ŞERİT",1.00,"2,358.50","2,358.50",EMİN ERSEN PEKER-PEK-İŞ TESTERE
000000000000010,06.02.2026,OF00001475,"ŞERİT TESTERE BOY 5300MM 2,0LİK ÇELİK ŞERİT",1.00,"1,934.50","1,934.50",EMİN ERSEN PEKER-PEK-İŞ TESTERE
000000000005157,06.02.2026,OF00001484,TTR  KABLO 5*6,40.00,206.33,"8,253.00",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005157,06.02.2026,OF00001485,C Tip 32 Amper Üç Fazlı Anahtarlı Otomatik Sigorta (Trifaze) 5Sl Serisi 5Sl6332-7Ya,1.00,"1,406.70","1,406.70",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005157,06.02.2026,OF00001486,40 amper trifaze KAÇAK AKIM sigorta,1.00,"1,584.00","1,584.00",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),2.00,"1,326.60","2,653.20",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),2.00,"1,664.52","3,329.04",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),4.00,"1,627.89","6,511.56",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),2.00,"1,326.60","2,653.20",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),6.00,213.18,"1,279.08",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),2.00,112.86,225.72,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),3.00,172.26,516.78,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),3.00,172.26,516.78,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),2.00,136.35,272.70,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),5.00,450.12,"2,250.60",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000005301,06.02.2026,MKN00000010,FAB.GNL MKN BKM SARF MAL.(HOLZMA PANEL EBATLAMA MOMAG),5.00,788.37,"3,941.85",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
