BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000020,12.02.2026,MHT0000059,MUHTELİF SIVAMA İŞÇİLİĞİ,11.00,63.64,700.04,SELAMİN ÖZÇELİK
000000000000020,12.02.2026,MHT0000059,MUHTELİF SIVAMA İŞÇİLİĞİ,1.00,"21,000.00","21,000.00",SELAMİN ÖZÇELİK
000000000000051,20.02.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,8.00,375.00,"3,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,8.00,225.00,"1,800.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,20.00,550.00,"11,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,10.00,800.00,"8,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002035,BOYAMA İŞİ GATE MASA KAYIT 1010mm ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,30.00,50.00,"1,500.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002039,BOYAMA İŞİ GATE MASA KAYIT 1910mm ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,30.00,90.00,"2,700.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002079,BOYAMA İŞİ PYRAMİD ETAJER TRAVERS 380mm ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,30.00,20.00,600.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002119,BOYAMA İŞİ RADO ETAJER TRAVERS 390mm ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,30.00,20.00,600.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002186,BOYAMA İŞİ FİLO TOPLANTI MASASI ÇERÇEVE AYAK 900*700*60mm ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,25.00,125.00,"3,125.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002187,BOYAMA İŞİ FİLO TOPLANTI MASASI LAMA DEMİRİ 310*50*10 mm ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,52.00,15.00,780.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002244,BOYAMA İŞİ DORY BEKLEME KOLTUK AYAĞI RAL 9005 MAT SİYAH İNCE PÜTÜRLÜ,89.00,120.00,"10,680.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002356,BOYAMA İŞİ WAWE TOPLNTI 580*730H ASTAR MAT SİYAH,2.00,175.00,350.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002357,BOYAMA İŞİ WAWE SEHPA 583*380H ASTAR MAT SİYAH,1.00,92.00,92.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002358,BOYAMA İŞİ WAWE KESON 430*120H ASTAR MAT SİYAH,1.00,25.00,25.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002359,BOYAMA İŞİ WAWE KONSOL 1750*230H ASTAR MAT SİYAH,1.00,230.00,230.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002360,BOYAMA İŞİ WAWE ÇALIŞMA MASASI 904*765H ASTAR MAT SİYAH,1.00,320.00,320.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000051,20.02.2026,OF00002363,BOYAMA İŞİ RADO TRAVERS 1290mm ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,30.00,55.00,"1,650.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000053,23.02.2026,OF00002172,BOYAMA İŞİ MOCA MASA METAL UZUN AYAĞI D PROFİL GENİŞLİK:730MM H:714MM ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,9.00,100.00,900.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000053,23.02.2026,OF00002173,BOYAMA İŞİ MOCA MASA METAL KISA AYAĞI D PROFİL GENİŞLİK:730MM H:143MM ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,9.00,50.00,450.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000053,23.02.2026,OF00002174,BOYAMA İŞİ MOCA MASA METAL KAYITI 30*50 PROFİL 1670MM ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,18.00,65.00,"1,170.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000053,23.02.2026,OF00002175,BOYAMA İŞİ MOCA KONSOL METAL AYAĞI D PROFİL GENİŞLİK:450MM H:143MM ANTRASİT RAL 7016 İNCE PÜTÜRLÜ,14.00,40.00,560.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000053,23.02.2026,OF00002361,BOYAMA İŞİ MOCA MASA AYAK GİYDİRMESİ 3MM SAC 664MM- RAL 9010 DÜZ BEYAZ,14.00,40.00,560.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000053,23.02.2026,OF00002362,BOYAMA İŞİ MOCA MASA İLE KONSOL AYAK GİYDİRMESİ 3MM SAC 93MM - RAL 9010 DÜZ BEYAZ,42.00,15.00,630.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
