BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000069,02.02.2026,OF00000686,UNICOLOR AHŞAP RENKLENDİRİCİ KONSANTRE SİYAH (AKZO),10.00,620.00,"6,200.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000069,02.02.2026,OF00000754,YAVAŞ TİNER 12 KG,4.00,"1,920.00","7,680.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000069,02.02.2026,OF00000819,MDF ASTAR BEYAZ TK.,30.00,"2,520.00","75,600.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000069,02.02.2026,OF00000866,RULO SARI ZIMPARA 180LİK,6.00,916.67,"5,500.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000069,02.02.2026,OF00000944,9003 MAT BEYAZ POLÜRETAN BOYA TAKIM (12KG+6KG SERTLEŞTİRİCİ),15.00,"4,554.00","68,310.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000069,02.02.2026,OF00001450,FİLLİ BEYAZ FON ASTAR TAKIM (12KG+3KG SERT),10.00,"1,995.04","19,950.42",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000073,04.02.2026,EV00000812,KURU PATİNE,4.00,"3,456.00","13,824.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000073,04.02.2026,OF00000374,SELÜLOZİK TİNER 14KG,60.00,"1,208.33","72,499.98",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000073,04.02.2026,OF00000668,SELÜLOZİK BAKIR BOYA,6.00,"4,200.00","25,200.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000073,04.02.2026,OF00000982,SAİL TOWER SIVI ALTIN BOYA (06 ALTIN YALDIZ),4.00,"4,860.00","19,440.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000073,04.02.2026,OF00001480,ENDÜSTRİYEL MAT SİYAH ALDECO SONKAT BOYA,2.00,"2,000.00","4,000.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000073,04.02.2026,OF00002355,AKRİLİK SONKAT MAT VERNİK,8.00,"3,366.00","26,928.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000073,04.02.2026,OF00006489,ENDÜSTRİYEL RAL 7016 ANTRASİT METAL BOYA,1.00,"2,000.00","2,000.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000074,04.02.2026,EV00000554,MAT LAKE BOYA RAL 8019 ACI KAHVE,6.00,"6,660.00","39,960.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
