BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"17,000.00","17,000.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"17,000.00","17,000.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"17,000.00","17,000.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"8,500.00","8,500.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"17,000.00","17,000.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"8,500.00","8,500.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,750.00,750.00,KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,750.00,750.00,KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,750.00,750.00,KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"5,000.00","5,000.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,750.00,750.00,KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"5,000.00","5,000.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"5,000.00","5,000.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"2,000.00","2,000.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000260,27.02.2026,MHT0000018,MUHTELİF MERMER,1.00,"3,500.00","3,500.00",KİFFA ENERJİ İNŞAAT TURİZM SAN. VE TİC.LTD.ŞTİ.
000000000000021,16.02.2026,OF00000549,İKİLİ AHŞAP ASKILIK HAM (DİLSİZ UŞAK),20.00,"1,500.00","30,000.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
