BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000002725,02.02.2026,EV00005172,AŞANTEKS İNKA,3.00,150.72,452.15,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000002941,02.02.2026,OF00005005,GÜNDER TOSKANO,12.00,195.98,"2,351.76",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000002941,02.02.2026,OF00005005,GÜNDER TOSKANO,15.00,195.98,"2,939.70",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000027251,02.02.2026,OF00005047,AŞANTEKS VIVA,8.00,233.06,"1,864.52",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000000036,03.02.2026,OF00005090,MUNIPELL MALDIVE,66.46,722.11,"47,991.16",MUNİ PELL DERİ VE TEKSTİL SAN.TİC.LTD.ŞTİ.
000000000003067,04.02.2026,OF00005015,AŞANTEKS ZEUGMA,13.00,325.53,"4,231.85",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003067,04.02.2026,OF00005015,AŞANTEKS ZEUGMA,36.00,325.53,"11,718.96",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003067,04.02.2026,OF00005029,AŞANTEKS RIVA,9.00,238.62,"2,147.55",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003067,04.02.2026,OF00005047,AŞANTEKS VIVA,8.00,218.05,"1,744.37",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003067,04.02.2026,OF00005047,AŞANTEKS VIVA,16.00,218.05,"3,488.74",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003067,04.02.2026,OF00005058,AŞANTEKS DANTE,17.00,143.99,"2,447.88",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003281,04.02.2026,1034000002,GÜNDER FIESTA,3.00,145.44,436.32,GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000003281,04.02.2026,OF00005004,GÜNDER SERT FİLE,2.00,149.27,298.54,GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000003281,04.02.2026,OF00005006,GÜNDER İNTER,25.00,198.74,"4,968.50",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000003281,04.02.2026,OF00005006,GÜNDER İNTER,18.00,198.74,"3,577.32",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000003281,04.02.2026,OF00005035,GÜNDER FİLE AİR,2.00,97.60,195.20,GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000003281,04.02.2026,OF00005062,GÜNDER MARTİN,15.00,205.52,"3,082.80",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000003281,04.02.2026,OF00005091,GÜNDER MADRAS,15.00,268.75,"4,031.25",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000003502,06.02.2026,OF00000253,AYARLI PLASTİK T KOL,100.00,326.50,"32,650.00",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000002019,06.02.2026,EV00005164,MUHTELİF KUMAŞ,10.00,478.87,"4,788.70",SFC TEKSTİL PAZ.VE DIŞ TİC.LTD.ŞTİ.
000000000002019,06.02.2026,EV00005164,MUHTELİF KUMAŞ,12.00,478.87,"5,746.44",SFC TEKSTİL PAZ.VE DIŞ TİC.LTD.ŞTİ.
000000000002019,06.02.2026,EV00005164,MUHTELİF KUMAŞ,6.00,478.87,"2,873.22",SFC TEKSTİL PAZ.VE DIŞ TİC.LTD.ŞTİ.
000000000002019,06.02.2026,EV00005164,MUHTELİF KUMAŞ,2.00,478.87,957.74,SFC TEKSTİL PAZ.VE DIŞ TİC.LTD.ŞTİ.
000000000003481,10.02.2026,EV00005164,MUHTELİF KUMAŞ,47.80,257.66,"12,315.95",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003481,10.02.2026,EV00005164,MUHTELİF KUMAŞ,100.80,257.66,"25,971.71",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003481,10.02.2026,OF00005017,AŞANTEKS MOOKA,48.10,270.30,"13,001.38",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003481,10.02.2026,OF00005067,AŞANTEKS GLORİA,51.90,222.34,"11,539.59",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003806,10.02.2026,OF00005091,GÜNDER MADRAS,16.00,270.75,"4,332.00",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000003603,11.02.2026,EV00005164,MUHTELİF KUMAŞ,6.00,539.19,"3,235.11",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003603,11.02.2026,EV00005164,MUHTELİF KUMAŞ,6.00,539.19,"3,235.11",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003603,11.02.2026,EV00005164,MUHTELİF KUMAŞ,14.50,408.75,"5,926.89",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003603,11.02.2026,EV00005164,MUHTELİF KUMAŞ,6.00,291.84,"1,751.04",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003603,11.02.2026,OF00005017,AŞANTEKS MOOKA,14.00,270.47,"3,786.51",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003603,11.02.2026,OF00005045,AŞANTEKS BATA,7.00,214.19,"1,499.34",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003603,11.02.2026,OF00005047,AŞANTEKS VIVA,9.00,220.25,"1,982.29",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003603,11.02.2026,OF00005047,AŞANTEKS VIVA,21.00,220.25,"4,625.34",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003603,11.02.2026,OF00005047,AŞANTEKS VIVA,9.00,220.25,"1,982.29",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003603,11.02.2026,OF00005067,AŞANTEKS GLORİA,28.00,222.48,"6,229.42",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000003822,13.02.2026,EV00005164,MUHTELİF KUMAŞ,37.10,257.96,"9,570.46",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000000025,14.02.2026,EV00005164,MUHTELİF KUMAŞ,10.00,371.34,"3,713.41",DOKUMOD TEKSTİL LTD.ŞTİ.
000000000004029,17.02.2026,OF00005047,AŞANTEKS VIVA,3.50,219.92,769.71,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000004029,17.02.2026,OF00005047,AŞANTEKS VIVA,3.00,219.92,659.75,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000004029,17.02.2026,OF00005047,AŞANTEKS VIVA,17.00,219.92,"3,738.60",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000004169,18.02.2026,OF00005047,AŞANTEKS VIVA,9.00,219.53,"1,975.81",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000004169,18.02.2026,OF00005047,AŞANTEKS VIVA,3.00,219.53,658.60,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000000344,19.02.2026,EV00005164,MUHTELİF KUMAŞ,4.18,517.00,"2,161.06",UYGUNER DERİ PAZ.VE TİC.A.Ş.
000000000004263,19.02.2026,OF00005015,AŞANTEKS ZEUGMA,40.00,327.80,"13,111.96",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000004263,19.02.2026,OF00005018,AŞANTEKS COTTON,30.00,309.67,"9,290.23",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000004263,19.02.2026,OF00005048,AŞANTEKS COVENTRY,12.00,145.52,"1,746.19",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000004263,19.02.2026,OF00005048,AŞANTEKS COVENTRY,6.00,145.52,873.09,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000004263,19.02.2026,OF00005075,AŞANTEKS INCA,5.00,145.52,727.58,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
