BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000003241,03.02.2026,OF00006443,"3000*1500*1,2 MM GALVANİZ SAC",15.00,"1,436.40","21,546.00",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003239,05.02.2026,OF00000274,"40*40*1,5 MM DKP PROFİL",50.00,329.63,"16,481.46",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,OF00000913,"40*30*1,5mm DKP PROFİL",20.00,298.11,"5,962.14",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,OF00001096,3000*1500*4MM HRP SAC,2.00,"4,275.00","8,550.00",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,OF00001099,3000*1500*1MM DKP SAC,12.00,"1,128.75","13,545.00",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,OF00001183,3000*1500*3MM HRP SAC,2.00,"3,135.00","6,270.00",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,OF00001285,3000*1500*6MM HRP SAC,10.00,"6,468.00","64,680.00",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,OF00001388,3000*1500*8MM HRP SAC,22.00,"8,622.27","189,689.98",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,OF00006426,"30*30*1,5 MM DKP PROFİL",20.00,257.36,"5,147.20",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,OF00006437,"50*30*1,5 MM DKP PROFİL",20.00,341.59,"6,831.83",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,OF00006444,60*40*3MM ST037 METAL KUTU PROFİL,2.00,700.80,"1,401.60",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,PRJ0000139,"40*20*1,5MM DKP PROFİL",50.00,257.36,"12,867.99",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000003848,09.02.2026,PRJ00001848,"Ø16*1,5MM DKP BORU PROFİL",25.00,125.25,"3,131.22",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000000174,10.02.2026,OF00001393,3000*1500*1mm 304K. PASL.SATİNE,4.00,"4,668.18","18,672.73",KUMSAL PASLANMAZ ÇELİK METAL SAN.VE TİC.LTD.ŞTİ.
000000000004473,13.02.2026,OF00001140,3000*1500*2MM DKP SAC,39.00,"2,281.37","90,138.75",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000004473,13.02.2026,OF00001185,3000*1500*5MM HRP SAC,15.00,"5,305.50","80,520.00",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000005476,"24,02,2026",OF00006551,Ø76*1.5 MM DKP BORU PROFİL,15.00,548.99,"8,234.86",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000005476,24.02.2026,EV00000149,"15*15*1,5 MM DKP PROFİL",20.00,132.41,"2,648.10",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000005476,24.02.2026,OF00001496,60*40*2MM ST037 METAL KUTU PROFİL,40.00,494.33,"19,773.31",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000005476,24.02.2026,OF00006427,"25*25*1,5 MM DKP PROFİL",25.00,216.25,"5,406.37",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
