BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000179,02.02.2026,OF00000326,POLİÜRETAN SÜNGER RONDO MİSAFİR (TULİP),50.00,772.00,"38,600.00",BÜROPOL POLİÜRETAN SAN.TİC.LTD.ŞTİ.
000000000000749,04.02.2026,EV00001037,TABANCA ÇİVİSİ 80/10,420.00,33.33,"13,999.99",YAVUZ SÜNGER A.Ş.
000000000000749,04.02.2026,EV00001105,P İZOFİTİL 5209-200,2.00,"1,300.00","2,600.00",YAVUZ SÜNGER A.Ş.
000000000000749,04.02.2026,EV00001111,P İZOFİTİL 5009-080,4.00,"1,300.00","5,200.00",YAVUZ SÜNGER A.Ş.
000000000000749,04.02.2026,EV00001169,TABANCA ÇİVİSİ 80/14,210.00,33.33,"6,999.99",YAVUZ SÜNGER A.Ş.
000000000000749,04.02.2026,EV00001243,TABANCA ÇİVİSİ 80/8,120.00,33.33,"4,000.00",YAVUZ SÜNGER A.Ş.
000000000000749,04.02.2026,OF00006093,D45 HLB 120*240*1.5 LUK,40.00,250.20,"10,008.00",YAVUZ SÜNGER A.Ş.
000000000000749,04.02.2026,OF00006546,D45 HLB 120*240*5,26.00,782.31,"20,340.00",YAVUZ SÜNGER A.Ş.
000000000000759,04.02.2026,EV00001240,500gr LAMİNELİ ELYAF,10.00,"3,795.75","37,957.50",YAVUZ SÜNGER A.Ş.
000000000000403,09.02.2026,OF00000279,KOLSUZ TİLT MEKANİZMA ŞASE AB4421-2,100.00,199.80,"19,980.00",ALTIN BÜRO DAYANIKLI TÜK.MAL.SAN. VE TİC.LTD.ŞTİ.
000000000000885,10.02.2026,OF00000573,U ZIMBA TELİ 92*40*1 MM,240.00,33.33,"7,999.99",YAVUZ SÜNGER A.Ş.
000000000000885,10.02.2026,OF00000926,GERGİLİK TÜL ASTAR,206.00,30.00,"6,180.00",YAVUZ SÜNGER A.Ş.
000000000000935,12.02.2026,OF00000637,D30 REFLEX SÜNGER 14LÜK 120*240,30.00,"1,401.12","42,033.60",YAVUZ SÜNGER A.Ş.
000000000001146,20.02.2026,MHT0000029,MUHTELİF SÜNGER,63.00,587.97,"37,042.11",YAVUZ SÜNGER A.Ş.
000000000001146,20.02.2026,MHT0000029,MUHTELİF SÜNGER,65.00,415.50,"27,007.50",YAVUZ SÜNGER A.Ş.
000000000001146,20.02.2026,OF00000414,ARMADA SIRT SÜNGERİ CNC KESİM (GRİ),102.00,82.50,"8,415.00",YAVUZ SÜNGER A.Ş.
000000000001146,20.02.2026,OF00000415,ARMADA OTURUM SÜNGERİ CNC KESİM (GRİ),102.00,82.50,"8,415.00",YAVUZ SÜNGER A.Ş.
000000000001237,25.02.2026,OF00001457,90gr ELYAF,10.00,"1,000.00","10,000.00",YAVUZ SÜNGER A.Ş.
000000000004682,27.02.2026,OF00000533,PATTEX BALİ (CONTACT YAPIŞTIRICI ),20.00,965.80,"19,316.00",KUZEY TOPTAN HIRDAVAT YAPI KİMYA SAN.VE TİC.LTD.ŞTİ.
000000000012721,27.02.2026,OF00000637,D30 REFLEX SÜNGER 14LÜK 120*240,60.00,"1,401.12","84,067.20",YAVUZ SÜNGER A.Ş.
000000000012721,27.02.2026,OF00000758,"D14 BEYAZ 1,5*140*240 SÜNGER",152.00,89.91,"13,666.32",YAVUZ SÜNGER A.Ş.
000000000012721,27.02.2026,OF00000910,D30 REFLEX SÜNGER 12LİK 120*240,46.00,"1,200.96","55,244.16",YAVUZ SÜNGER A.Ş.
000000000012721,27.02.2026,OF00000949,D22 GRİ 4.5 LUK 120*240 SÜNGER,60.00,343.44,"20,606.40",YAVUZ SÜNGER A.Ş.
000000000012721,27.02.2026,OF00000950,D22 GRİ 2.5LUK 120*240 SÜNGER,156.00,190.80,"29,764.80",YAVUZ SÜNGER A.Ş.
000000000012721,27.02.2026,OF00000951,D22 GRİ 1.5LİK 120*240 SÜNGER,150.00,114.48,"17,172.00",YAVUZ SÜNGER A.Ş.
000000000012721,27.02.2026,OF00006092,D14 BEYAZ 07*140*240 SÜNGER,100.00,41.96,"4,196.00",YAVUZ SÜNGER A.Ş.
000000000012721,27.02.2026,OF00006366,"D14 BEYAZ 2,5*140*240 SÜNGER",150.00,149.85,"22,477.50",YAVUZ SÜNGER A.Ş.
000000000000053,17.02.2026,OF00000278,ÇİFT KOLLU KUYRUKLU TİLT MEKANİZMA,120.00,360.00,"43,200.00",EYM ELİTE OFİS MOBİLYA SAN.VE TİC.LTD.ŞTİ.
000000000000618,17.02.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,4.00,84.10,336.40,KOMPOSAN OFİS AKSAMLARI SAN. VE TİC.LTD.ŞTİ.
000000000000618,17.02.2026,MHT0000029,MUHTELİF SÜNGER,1.00,609.00,609.00,KOMPOSAN OFİS AKSAMLARI SAN. VE TİC.LTD.ŞTİ.
000000000000618,17.02.2026,MHT0000029,MUHTELİF SÜNGER,1.00,867.10,867.10,KOMPOSAN OFİS AKSAMLARI SAN. VE TİC.LTD.ŞTİ.
