BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000279,03.02.2026,OF00006537,KONTRA ESNEK 03*1220*2500MM,100.00,"1,120.00","112,000.00",ALUÇ ORMAN ÜRÜNLERİ PAZ.VE TİC.LTD.ŞTİ.
000000000000709,03.02.2026,MHT0000002,MUHTELİF MDFLAM,8.00,"1,785.80","14,286.42",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000709,03.02.2026,MHT0000004,MUHTELİF LAMİNAT,1.00,772.00,772.00,ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000709,03.02.2026,MHT0000028,MUHTELİF MDF,1.00,854.34,854.34,ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000709,03.02.2026,OF00006281,HAM MDF 2100*2800*3MM,150.00,273.35,"41,002.80",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000709,03.02.2026,OF00006348,KONTRA KAVAK 14*1700*2200MM,134.00,"1,361.36","182,422.24",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000001105,04.02.2026,EV00000196,HAM MDF 2100*2800*18MM,30.00,"1,347.09","40,412.57",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000001105,04.02.2026,EV00000832,HAM MDF 2100*2800*12MM,10.00,994.80,"9,948.02",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000001105,04.02.2026,OF00004027,HAM MDF 2100*2800*8MM,5.00,758.01,"3,790.03",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000001166,05.02.2026,PRJ0001356,"ASD LAMİNAT 0,6*1300*2800 Loumarıne Laminat (mat) QUARRY YÜZEY",44.00,908.30,"39,965.11",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000001277,09.02.2026,EV00000832,HAM MDF 2100*2800*12MM,5.00,994.80,"4,974.01",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000001277,09.02.2026,OF00004025,HAM MDF 2100*2800*6MM,30.00,559.38,"16,781.54",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000001277,09.02.2026,OF00006281,HAM MDF 2100*2800*3MM,2.00,273.35,546.70,ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000001258,10.02.2026,MHT0000027,MUHTELİF SUNTA,8.00,719.13,"5,753.03",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
