BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000486,04.03.2026,OF00000628,3 CM KÖŞE KARTON,"22,050.00",1.65,"36,382.50",EK AMBALAJ GIDA SAN. TİC.LTD.ŞTİ.
000000000000486,04.03.2026,OF00000630,9 CM KÖŞE KARTON,"21,816.00",2.40,"52,358.40",EK AMBALAJ GIDA SAN. TİC.LTD.ŞTİ.
000000000000136,05.03.2026,OF00006007,BASKISIZ GRİPİN NAYLON KAĞITLI 340gr 160cm EN,900.32,77.00,"69,324.64",BAŞKENT AY AMBALAJ PLASTİK ÜRETİM SAN.VE TİC.LTD.ŞTİ.
000000000000137,05.03.2026,OF00006007,BASKISIZ GRİPİN NAYLON KAĞITLI 340gr 160cm EN,302.24,77.00,"23,272.48",BAŞKENT AY AMBALAJ PLASTİK ÜRETİM SAN.VE TİC.LTD.ŞTİ.
000000000000234,05.03.2026,OF00000576,"ŞİLTE 1,2mm 150cm EN","9,000.00",2.90,"26,100.00",ÜNALLAR GRUP AMBALAJ İNŞ.SAN. VE TİC.LTD.ŞTİ.
000000000000234,05.03.2026,OF00001111,5*5 U PROFİL  KÖŞEBENT (KÖPÜK),960.00,4.60,"4,416.00",ÜNALLAR GRUP AMBALAJ İNŞ.SAN. VE TİC.LTD.ŞTİ.
000000000000244,07.03.2026,OF00000577,5*5 L PROFİL KÖŞEBENT (KÖPÜK),"4,500.00",2.90,"13,050.00",ÜNALLAR GRUP AMBALAJ İNŞ.SAN. VE TİC.LTD.ŞTİ.
000000000000244,07.03.2026,OF00000578,7*7 L PROFİL KÖŞEBENT (KÖPÜK),"2,000.00",3.60,"7,200.00",ÜNALLAR GRUP AMBALAJ İNŞ.SAN. VE TİC.LTD.ŞTİ.
000000000000244,07.03.2026,OF00001111,5*5 U PROFİL  KÖŞEBENT (KÖPÜK),540.00,4.60,"2,484.00",ÜNALLAR GRUP AMBALAJ İNŞ.SAN. VE TİC.LTD.ŞTİ.
000000000000565,12.03.2026,OF00000065,KARTON D KSK EXXTRA BASKILI BEYAZ LEVHA 2500*3000 mm 700 GR / M² /,720.00,200.00,"144,000.00",EK AMBALAJ GIDA SAN. TİC.LTD.ŞTİ.
000000000000577,13.03.2026,OF00000476,KT 123 STANDART KUTU DİKİŞLİ-BC/TST KOLTUK KOLİSİ 70*105*80h,147.00,153.00,"22,491.00",EK AMBALAJ GIDA SAN. TİC.LTD.ŞTİ.
000000000000587,16.03.2026,OF00000065,KARTON D KSK EXXTRA BASKILI BEYAZ LEVHA 2500*3000 mm 700 GR / M² /,432.00,200.00,"86,400.00",EK AMBALAJ GIDA SAN. TİC.LTD.ŞTİ.
000000000000587,16.03.2026,OF00000476,KT 123 STANDART KUTU DİKİŞLİ-BC/TST KOLTUK KOLİSİ 70*105*80h,340.00,153.00,"52,020.00",EK AMBALAJ GIDA SAN. TİC.LTD.ŞTİ.
000000000000821,17.03.2026,EV00000160,STRAFOR 30mm 10 DANSTE 500*1000 mm,10.08,"1,354.17","13,650.00",BALPOR ISI YALITIM LTD.ŞTİ.
000000000000615,23.03.2026,OF00000476,KT 123 STANDART KUTU DİKİŞLİ-BC/TST KOLTUK KOLİSİ 70*105*80h,170.00,153.00,"26,010.00",EK AMBALAJ GIDA SAN. TİC.LTD.ŞTİ.
000000000000877,26.03.2026,EV00000160,STRAFOR 30mm 10 DANSTE 500*1000 mm,0.25,"2,000.00",500.00,BALPOR ISI YALITIM LTD.ŞTİ.
000000000000178,31.03.2026,OF00000622,BASKILI GRİPİN NAYLON KAĞITLI 340gr 160cm EN,"1,029.58",120.00,"123,549.60",BAŞKENT AY AMBALAJ PLASTİK ÜRETİM SAN.VE TİC.LTD.ŞTİ.
000000000000779,31.03.2026,EV00001046,RULO NAYLON 175 CM EN,56.84,115.60,"6,570.70",ELAS PLASTİK MAK.MAD.İNŞ.MÜH.İTH.İHR.SAN.TİC. LTD.ŞTİ.
