BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000146,02.03.2026,OF00000094,SAİL TOWER ZEMİN RENGİ,2.00,"3,038.00","6,076.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000146,02.03.2026,OF00000359,KOYU CEVİZ PİNOTEKS,4.00,"2,244.00","8,976.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000146,02.03.2026,OF00000375,SENTETİK TİNER,6.00,"1,000.00","6,000.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000146,02.03.2026,OF00000555,AÇIK CEVİZ PİNOTEKS,2.00,"2,244.00","4,488.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000146,02.03.2026,OF00000776,POLİÜRETAN MAT CAPPUCİNO,6.00,"4,728.00","28,368.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000146,02.03.2026,OF00001473,RAL 7044 SİLK GREY PARLAK LAKE BOYA 100 GLOOSE + SERTLEŞTİRİCİSİ İLE BİRLİKTE (TAKIM),6.00,"5,868.00","35,208.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000146,02.03.2026,OF00006117,AKRİLİK SON KAT VERNİK,10.00,"3,645.00","36,450.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000147,02.03.2026,2003000264,TUTKAL SÜRME FIRÇASI NO: 1,12.00,30.00,360.00,YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000147,02.03.2026,OF00000556,KOYU CEVİZ ZEMİN RENGİ (GRAD TKM),6.00,"2,760.00","16,560.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000147,02.03.2026,OF00000688,BOYA SÜZGECİ,250.00,3.00,750.00,YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,MHT0000008,MUHTELİF BOYA,4.00,250.00,"1,000.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,OF00000357,"JANSEN MACUN BEYAZ 1,3 KG",1.00,"4,000.00","4,000.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,OF00000368,POLÜRETAN GOFRATO MAT BOYA RAL 7016 ANTRASİT,6.00,"5,969.60","35,817.60",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,OF00000373,SAHRA POLİÜRETAN SON KAT MAT BOYA,2.00,"4,551.00","9,102.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,OF00000599,POLÜRETAN DOLGU VERNİĞİ + SERTLEŞTİRİCİSİ İLE BİRLİKTE (TAKIM),6.00,"2,754.00","16,524.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,OF00000613,MAT SİYAH POLÜRETAN BOYA+SERTLEŞTİRİCİSİ (TAKIM),4.00,"4,290.00","17,160.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,OF00000618,CİLA BEZİ,10.00,750.00,"7,500.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,OF00000673,"RAL 9010 MAT BEYAZ PU TAKIM(25KG+12,5 KG SERTLEŞTİRİCİ)",6.00,"4,122.00","24,732.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,OF00000684,UNICOLOR AHŞAP RENKLENDİRİCİ KONSANTRE AÇIK CEVİZ (AKZO),6.00,663.00,"3,978.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,OF00000685,UNICOLOR AHŞAP RENKLENDİRİCİ KONSANTRE FINDIK (AKZO),6.00,663.00,"3,978.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000169,12.03.2026,OF00000686,UNICOLOR AHŞAP RENKLENDİRİCİ KONSANTRE SİYAH (AKZO),6.00,663.00,"3,978.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
