BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000805,02.03.2026,MHT0000010,MUHTELİF CAM,6.00,115.00,690.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000010,MUHTELİF CAM,9.00,110.00,990.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000010,MUHTELİF CAM,6.00,85.00,510.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000010,MUHTELİF CAM,6.00,65.00,390.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000010,MUHTELİF CAM,6.00,55.00,330.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,2.00,370.00,740.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,2.00,450.00,900.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,1.00,175.00,175.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,2.00,345.00,690.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,3.00,425.00,"1,275.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,2.00,250.00,500.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000805,02.03.2026,MHT0000011,MUHTELİF AYNA,2.00,185.00,370.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000656,03.03.2026,PRJ0001748,1211*340*4MM BRONZ CAM TEMPERLİ,1.00,290.00,290.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000656,03.03.2026,PRJ0001817,2642*393*4MM BRONZ CAM TEMPERLİ,9.00,730.00,"6,570.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000882,07.03.2026,PRJ0001704,1198*578*4MM RODAJLI DÜZ AYNA,3.00,485.00,"1,455.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000882,07.03.2026,PRJ0001707,1198*948*4MM RODAJLI DÜZ AYNA,3.00,795.00,"2,385.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000882,07.03.2026,PRJ0001731,1198*874*4MM RODAJLI DÜZ AYNA,6.00,735.00,"4,410.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
