BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000001936,02.03.2026,MKN00000002,FAB.GNL MKN BKM SARF MAL.(BOYAHANE BÖLÜMÜ),1.00,"45,000.00","45,000.00",TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000001936,02.03.2026,MKN00000002,FAB.GNL MKN BKM SARF MAL.(BOYAHANE BÖLÜMÜ),1.00,"8,400.00","8,400.00",TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000007193,03.03.2026,MKN00000007,FAB.GNL MKN BKM SARF MAL.(ARGON-AZOT-KARIŞIM-OKSİJEN GAZ),1.00,"3,555.50","3,555.50",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000063,04.03.2026,PRJ0001873,BOARDEX 12*120*240CM,86.40,173.61,"15,000.00",KANAAT İNŞAAT LTD. ŞTİ.
000000000009517,06.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,1.00,225.96,225.96,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000009517,06.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,1.00,277.20,277.20,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000009517,06.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,60.00,204.75,"12,285.00",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000000249,11.03.2026,MHT0000062,MUHTELİF MALZEME,6.00,850.00,"5,100.00",FATİH ESER - ONUR YAPI MARKET
000000000000249,11.03.2026,MHT0000062,MUHTELİF MALZEME,2.00,750.00,"1,500.00",FATİH ESER - ONUR YAPI MARKET
000000000000249,11.03.2026,MHT0000062,MUHTELİF MALZEME,2.00,229.17,458.33,FATİH ESER - ONUR YAPI MARKET
000000000000249,11.03.2026,MHT0000062,MUHTELİF MALZEME,2.00,125.00,250.00,FATİH ESER - ONUR YAPI MARKET
000000000000249,11.03.2026,MHT0000062,MUHTELİF MALZEME,1.00,100.00,100.00,FATİH ESER - ONUR YAPI MARKET
000000000000249,11.03.2026,MHT0000062,MUHTELİF MALZEME,2.00,250.00,500.00,FATİH ESER - ONUR YAPI MARKET
000000000002234,11.03.2026,MKN00000003,FAB.GNL MKN BKM SARF MAL.(ELEKTRİKLİ EL ALETLERİ),1.00,"3,101.48","3,101.48",TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000008180,11.03.2026,MKN00000007,FAB.GNL MKN BKM SARF MAL.(ARGON-AZOT-KARIŞIM-OKSİJEN GAZ),1.00,"4,076.30","4,076.30",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000308,12.03.2026,MKN00000004,FAB.GNL MKN BKM SARF MAL.(LAZER CNC SAC KESİM),1.00,"467,500.00","467,500.00",BODOR LASER TURKEY MAKİNA TİC.LTD.ŞTİ.
000000000000326,12.03.2026,FAB00000001,FABRİKA TADİLAT BAKIM MALZEMELERİ,1.00,"3,012.50","3,012.50",FATİH ESER - ONUR YAPI MARKET
000000000010422,12.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,20.00,19.50,390.00,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000010422,12.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,10.00,42.88,428.80,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000010422,12.03.2026,MKN00000009,FAB.GNL MKN BKM SARF MAL.(KIRICI ÖĞÜTÜCÜ MAK.),3.00,550.00,"1,650.00",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000001027,13.03.2026,2003000320,EMİCİ KAYIŞI 17*2050 16L2 09/16 V KAYIŞ,10.00,250.00,"2,500.00",ÖZDEMİR KAYIŞ MURAT ÖZDEMİR
000000000001027,13.03.2026,MKN00000015,FAB.GNL MKN BKM SARF MAL.(BAZZ MAK.),5.00,300.00,"1,500.00",ÖZDEMİR KAYIŞ MURAT ÖZDEMİR
000000000001027,13.03.2026,MKN00000015,FAB.GNL MKN BKM SARF MAL.(BAZZ MAK.),5.00,400.00,"2,000.00",ÖZDEMİR KAYIŞ MURAT ÖZDEMİR
000000000001027,13.03.2026,MKN00000015,FAB.GNL MKN BKM SARF MAL.(BAZZ MAK.),10.00,200.00,"2,000.00",ÖZDEMİR KAYIŞ MURAT ÖZDEMİR
000000000007072,16.03.2026,MHT0000062,MUHTELİF MALZEME,17.00,72.00,"1,224.00",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000007072,16.03.2026,MHT0000062,MUHTELİF MALZEME,3.00,216.00,648.00,VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000002430,17.03.2026,MKN00000003,FAB.GNL MKN BKM SARF MAL.(ELEKTRİKLİ EL ALETLERİ),1.00,"2,170.00","2,170.00",TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000011720,25.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,20.00,1.50,30.00,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000011720,25.03.2026,OF00001228,KAUÇUK 3LÜ PRİZ,10.00,173.46,"1,734.60",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000011720,25.03.2026,OF00001418,LED ŞERİT ÜÇ CHİP İÇ MEKAN GÜN IŞIĞI,100.00,26.00,"2,600.00",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000011720,25.03.2026,PRJ0000874,"2*0,22 LED KABLOSU (SİYAH RENK)","1,000.00",14.42,"14,415.00",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000011841,25.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,1.00,379.84,379.84,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000011841,25.03.2026,OF00000602,ERKEK FİŞ,1.00,32.96,32.96,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000002561,25.03.2026,OF00000787,RUPES ZIMPARA MAKİNASI KÖMÜRÜ (HU69F12),20.00,125.00,"2,500.00",TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000000795,27.03.2026,OF00001416,Kdaxıs-250 Kare Gövdeli Sac Kanatlı Duvar Tipi Aksiyel Fan,1.00,"2,500.00","2,500.00",SEÇKİN ELEKTRİK SAN.TİC.LTD.ŞTİ.
000000000009963,27.03.2026,MKN00000007,FAB.GNL MKN BKM SARF MAL.(ARGON-AZOT-KARIŞIM-OKSİJEN GAZ),1.00,"3,555.50","3,555.50",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000012566,30.03.2026,OF00001044,"LED KABLOSU 2*0,22","1,000.00",8.50,"8,500.00",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000010130,31.03.2026,MKN00000007,FAB.GNL MKN BKM SARF MAL.(ARGON-AZOT-KARIŞIM-OKSİJEN GAZ),1.00,"6,101.94","6,101.94",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000009219,24.03.2026,FAB00000001,FABRİKA TADİLAT BAKIM MALZEMELERİ,1.00,"94,440.00","94,440.00",BAŞOL YAPI MALZEMELERİ TİC.LTD.ŞTİ.
000000000000063,26.03.2026,OF00001162,ER40 MANDREN PENS 12MM,6.00,550.00,"3,300.00",EYLÜL YAĞMUR YILDIRIM
000000000000139,26.03.2026,MHT0000062,MUHTELİF MALZEME,4.00,500.00,"2,000.00",HİB TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000000139,26.03.2026,MHT0000062,MUHTELİF MALZEME,2.00,360.00,720.00,HİB TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000000033,26.03.2026,MKN00000001,FAB.GNL MKN BKM SARF MAL.(TESTERE&BIÇAK&ŞERİT BİLEME),1.00,"31,800.00","31,800.00",SEYİT ALİ TÜRKSEVER (SETSAN BİLEME VE MAK.İMALAT)
000000000000143,27.03.2026,MHT0000062,MUHTELİF MALZEME,2.00,360.00,720.00,HİB TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000010019,30.03.2026,FAB00000001,FABRİKA TADİLAT BAKIM MALZEMELERİ,1.00,"11,420.00","11,420.00",BAŞOL YAPI MALZEMELERİ TİC.LTD.ŞTİ.
000000000000049,30.03.2026,MHT0000062,MUHTELİF MALZEME,60.00,15.00,900.00,KAPLAN METAL TEL ÜRÜNLERİ VE YÜZEY İŞLEMİ (ÜMÜT KAPLAN)
000000000000049,30.03.2026,OF00002001,POLİSAJ + KROM KAPLAMA İŞÇİLİĞİ,60.00,125.00,"7,500.00",KAPLAN METAL TEL ÜRÜNLERİ VE YÜZEY İŞLEMİ (ÜMÜT KAPLAN)
000000000000049,30.03.2026,OF00002001,POLİSAJ + KROM KAPLAMA İŞÇİLİĞİ,10.00,80.00,800.00,KAPLAN METAL TEL ÜRÜNLERİ VE YÜZEY İŞLEMİ (ÜMÜT KAPLAN)
000000000000049,30.03.2026,OF00002001,POLİSAJ + KROM KAPLAMA İŞÇİLİĞİ,50.00,100.00,"5,000.00",KAPLAN METAL TEL ÜRÜNLERİ VE YÜZEY İŞLEMİ (ÜMÜT KAPLAN)
