BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000002480,02.03.2026,EV00000143,EXPRES DENİZ TUTKALI,36.00,152.00,"5,472.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000002480,02.03.2026,MHT0000009,MUHTELİF HIRDAVAT,15.00,"1,460.00","21,900.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000002480,02.03.2026,OF00000180,ÇELİK MACUN,12.00,140.00,"1,680.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000002531,03.03.2026,OF00000190,HIZLI YAPIŞTIRICI TAKIM,1.00,70.00,70.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000002575,04.03.2026,OF00001497,BEYAZ SİLİKON,10.00,89.99,899.88,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000905,06.03.2026,MHT0000022,MUHTELİF BOYAHANE SARF MALZEME,20.00,817.17,"16,343.46",ASBANT BANT VE BOBİNAJ SAN.AŞ.
000000000000386,06.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,8.00,70.00,560.00,FATİH ELEKTRİK MALZ.TİC.LTD.ŞTİ.
000000000000386,06.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,32.00,70.00,"2,240.00",FATİH ELEKTRİK MALZ.TİC.LTD.ŞTİ.
000000000000386,06.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,8.00,35.00,280.00,FATİH ELEKTRİK MALZ.TİC.LTD.ŞTİ.
000000000000386,06.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,5.00,6.50,32.50,FATİH ELEKTRİK MALZ.TİC.LTD.ŞTİ.
000000000000386,06.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,3.00,165.00,495.00,FATİH ELEKTRİK MALZ.TİC.LTD.ŞTİ.
000000000000386,06.03.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,8.00,410.00,"3,280.00",FATİH ELEKTRİK MALZ.TİC.LTD.ŞTİ.
000000000002736,07.03.2026,OF00001499,BAZA AYAK PLASTİK H:15cm,15.00,16.50,247.50,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000002252,09.03.2026,EV00001209,MİSLİNE KELEBEK AYAK 15cm MAT SİYAH,216.00,28.25,"6,102.00",MİS PLASTİK SAN.VE TİC.LTD.ŞTİ.
000000000001072,11.03.2026,MKN00000006,FAB.GNL MKN BKM SARF MAL.(ÇİFT TARAFLI BANTLAMA MAK. HOMAG),1.00,"3,157.88","3,157.88",MAGİC TEKNOLOJİ TİC.LTD.ŞTİ.
000000000002902,12.03.2026,MHT0000009,MUHTELİF HIRDAVAT - STARAX PANTOLUNLUK - UHK - URFA,2.00,"1,870.00","3,740.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000002902,12.03.2026,MHT0000009,MUHTELİF HIRDAVAT STARAX ASKILIK - UHK - URFA,3.00,"1,300.00","3,900.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000952,12.03.2026,OF00000606,İŞ ELDİVENİ SİYAH NİTRİL,288.00,24.00,"6,912.00",ÖZ DESTEK MAK.İNŞ.MET.CİV.HIRD.İTH.İHR.PAZ.SAN.TİC.LTD.ŞTİ.
