BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000005285,03.03.2026,OF00005017,AŞANTEKS MOOKA,6.00,272.58,"1,635.46",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000005285,03.03.2026,OF00005017,AŞANTEKS MOOKA,25.00,272.58,"6,814.42",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000005285,03.03.2026,OF00005027,AŞANTEKS VENEDİK,12.00,143.32,"1,719.87",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000005285,03.03.2026,OF00005047,AŞANTEKS VIVA,18.00,218.64,"3,935.56",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000005285,03.03.2026,OF00005047,AŞANTEKS VIVA,33.00,218.64,"7,215.19",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000005285,03.03.2026,OF00005067,AŞANTEKS GLORİA,4.00,224.22,896.87,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000005285,03.03.2026,OF00005067,AŞANTEKS GLORİA,6.00,224.22,"1,345.30",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000005285,03.03.2026,OF00006029,AŞANTEKS CARMEN,3.00,237.21,711.62,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000002493,03.03.2026,OF00005005,GÜNDER TOSKANO,100.00,185.62,"18,561.60",PALA SUNİ DERİCİLİK SANAYİ VE TİC.LTD.ŞTİ.
000000000000928,04.03.2026,OF00005100,GRC VISAGE,2.00,205.79,411.58,GRC HOME TEKSTİL OTOM.LTD.ŞTİ.
000000000006029,05.03.2026,OF00005008,GÜNDER CHESTER,21.00,222.53,"4,673.13",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000005612,06.03.2026,OF00005015,AŞANTEKS ZEUGMA,11.00,323.29,"3,556.23",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000005612,06.03.2026,OF00005063,AŞANTEKS FABRIC,15.00,172.01,"2,580.17",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000005666,06.03.2026,OF00005015,AŞANTEKS ZEUGMA,11.00,323.29,"3,556.23",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000006277,09.03.2026,OF00005012,GÜNDER HARŞENA,3.50,150.30,526.05,GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000005901,10.03.2026,OF00005015,AŞANTEKS ZEUGMA,3.00,322.36,967.08,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000006446,10.03.2026,OF00005005,GÜNDER TOSKANO,9.00,192.70,"1,734.30",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000006446,10.03.2026,OF00005005,GÜNDER TOSKANO,4.50,192.70,867.15,GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000006047,11.03.2026,OF00005063,AŞANTEKS FABRIC,5.00,172.28,861.41,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000006059,11.03.2026,OF00005063,AŞANTEKS FABRIC,1.00,172.28,172.28,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000006301,13.03.2026,OF00005047,AŞANTEKS VIVA,20.00,216.08,"4,321.65",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000006348,13.03.2026,OF00005029,AŞANTEKS RIVA,255.00,236.47,"60,299.31",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
