BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000069,06.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,1.00,55.00,55.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,4.00,20.00,80.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,16.00,55.00,880.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,16.00,28.00,448.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,7.00,35.00,245.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,7.00,30.00,210.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,4.00,55.00,220.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,4.00,25.00,100.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,8.00,30.00,240.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,OF00006524,BOYAMA İŞİ GRAD BERJER AYAK MAT SİYAH ASTAR,80.00,200.00,"16,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,OF00006525,BOYAMA İŞİ GRAD KOLTUK AYAK MAT SİYAH ASTAR,20.00,160.00,"3,200.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,OF00006525,BOYAMA İŞİ GRAD KOLTUK AYAK MAT SİYAH ASTAR,80.00,160.00,"12,800.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,OF00006563,BOYAMA İŞİ GRAD YAN SEHPA  MAT SİYAH ASTAR,80.00,250.00,"20,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000069,06.03.2026,OF00006564,BOYAMA İŞİ GRAD ORTA SEHPA METAL AYAK MAT SİYAH ASTAR,50.00,250.00,"12,500.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,260.00,520.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,6.00,65.00,390.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,18.00,35.00,630.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,4.00,900.00,"3,600.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,"1,000.00","2,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,4.00,15.00,60.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,14.00,20.00,280.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,4.00,50.00,200.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,400.00,800.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,1.00,300.00,300.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,1.00,800.00,800.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,100.00,150.00,"15,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000095,31.03.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,66.00,35.00,"2,310.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
