BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000111,04.03.2026,MHT0000029,MUHTELİF SÜNGER,1.00,"1,150.00","1,150.00",IŞILTI POLİÜRETAN KUYUMCULUK SAN.TİC.LTD.ŞTİ.
000000000000188,04.03.2026,OF00000224,MANAGER YILDIZ AYAK KROM MA-0060,250.00,390.00,"97,500.00",KUZEY MAKİNA PLASTİK VE İNŞ.SAN.DIŞ TİC.LTD.ŞTİ.
000000000000188,04.03.2026,OF00000234,ELEGANT KROM YILDIZ AYAK (VİRA-CEYHAN),150.00,520.00,"78,000.00",KUZEY MAKİNA PLASTİK VE İNŞ.SAN.DIŞ TİC.LTD.ŞTİ.
000000000001443,06.03.2026,OF00001457,90gr ELYAF,10.00,"1,000.00","10,000.00",YAVUZ SÜNGER A.Ş.
000000000000377,11.03.2026,OF00000878,BÜROPOL - CRAZY KAPALI KOL MÜDÜR SÜNGER,15.00,"2,402.50","36,037.50",BÜROPOL POLİÜRETAN SAN.TİC.LTD.ŞTİ.
000000000001578,12.03.2026,EV00001069,BONCUK SİLİKON ELYAF,200.00,100.00,"20,000.00",YAVUZ SÜNGER A.Ş.
000000000000820,16.03.2026,OF00000487,LİBRA MİSAFİR U AYAK SİYAH,20.00,450.00,"9,000.00",ALTIN BÜRO DAYANIKLI TÜK.MAL.SAN. VE TİC.LTD.ŞTİ.
000000000000219,17.03.2026,MHT0000009,MUHTELİF HIRDAVAT KONİK AYAK,2.00,290.00,580.00,KUZEY MAKİNA PLASTİK VE İNŞ.SAN.DIŞ TİC.LTD.ŞTİ.
000000000001647,17.03.2026,OF00000636,TELA BEYAZ 160CM EN 50 GR/M2,6.00,"2,400.00","14,400.00",YAVUZ SÜNGER A.Ş.
000000000000881,25.03.2026,OF00000263,ÇİFT KOLLU TİLT MEKANİZMA,16.00,450.00,"7,200.00",ALTIN BÜRO DAYANIKLI TÜK.MAL.SAN. VE TİC.LTD.ŞTİ.
000000000000266,26.03.2026,OF00006124,KROM KONİK 80LİK AMORTİSÖR,250.00,110.60,"27,650.00",VERDORO MOBİLYA SAN.VE DIŞ TİC.LTD.ŞTİ.
000000000001840,31.03.2026,EV00001175,CIRT 5cm SİYAH-BEYAZ,550.00,11.82,"6,500.01",YAVUZ SÜNGER A.Ş.
