BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000001242,02.03.2026,MHT0000062,ALPİ KAPLAMA - TİTANİUM,30.00,769.77,"23,093.10",KAPSAN KAPLAMA VE AĞAÇ SAN.AŞ.
000000000000541,04.03.2026,OF00000547,KONTRA KAVAK 04*1700*2200MM,144.00,670.00,"96,480.00",ALUÇ ORMAN ÜRÜNLERİ PAZ.VE TİC.LTD.ŞTİ.
000000000001822,05.03.2026,EV00000196,HAM MDF 2100*2800*18MM,40.00,"1,279.73","51,189.39",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.-AKBULUT MOB.
000000000001822,05.03.2026,OF00006281,HAM MDF 2100*2800*3MM,4.00,273.35,"1,093.41",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.-AKBULUT MOB.
000000000005036,09.03.2026,EV00000218,HAM SUNTA 2100*2800*18MM,1.00,"1,000.00","1,000.00",AK YAPI ÜRETİM SAN. VE TİC.A.Ş.
000000000005036,09.03.2026,EV00000434,SLM 2100*2800*18mm SONOMO (STARWOOD 17  SÜPERMAT),30.00,"1,560.00","46,800.00",AK YAPI ÜRETİM SAN. VE TİC.A.Ş.
000000000005036,09.03.2026,EV00008061,SLM 2100*2800*8mm SONOMO (STARWOOD 17  SÜPERMAT),3.00,"1,200.00","3,600.00",AK YAPI ÜRETİM SAN. VE TİC.A.Ş.
000000000005036,09.03.2026,MHT0000002,MUHTELİF MDFLAM,5.00,"2,235.00","11,175.00",AK YAPI ÜRETİM SAN. VE TİC.A.Ş.
000000000000265,09.03.2026,EV00000196,HAM MDF 2100*2800*18MM,1.00,854.34,854.34,ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000265,09.03.2026,OF00004025,HAM MDF 2100*2800*6MM,60.00,559.38,"33,563.08",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000265,09.03.2026,OF00004036,HAM MDF 2100*2800*4MM,120.00,387.04,"46,444.27",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000002046,16.03.2026,PRJ0001889,"PVC 33*0,80 GALAXY KAHVE",600.00,9.36,"5,618.70",ARMADA ORMAN ÜRÜNLERİ VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000002051,16.03.2026,EV00000218,HAM SUNTA 2100*2800*18MM,1.00,719.13,719.13,ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000002051,16.03.2026,MHT0000002,MUHTELİF MDFLAM,8.00,"1,432.67","11,461.38",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000002051,16.03.2026,MHT0000002,MUHTELİF MDFLAM,3.00,"1,099.19","3,297.57",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000002051,16.03.2026,MHT0000002,MUHTELİF MDFLAM,1.00,"1,021.82","1,021.82",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000002051,16.03.2026,OF00004024,SLM 2100*2800*18mm SİYAH(YILDIZ ENT. VT-37 NATUREL),30.00,"1,159.36","34,780.75",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000817,17.03.2026,EV00000071,"PVC 22*0,80 ARAL - İYONYA (DOKULU) (KASTAMONU A-466)","21,700.00",4.46,"96,782.00",ARMADA ORMAN ÜRÜNLERİ VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000817,17.03.2026,MHT0000003,MUHTELİF PVC FREZYA 22*080MM,"4,340.00",4.46,"19,356.40",ARMADA ORMAN ÜRÜNLERİ VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000817,17.03.2026,MHT0000003,MUHTELİF PVC YENİCE MEŞE 22*080MM,"7,440.00",4.46,"33,182.40",ARMADA ORMAN ÜRÜNLERİ VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000005950,23.03.2026,EV00000218,HAM SUNTA 2100*2800*18MM,3.00,"1,041.67","3,125.00",AK YAPI ÜRETİM SAN. VE TİC.A.Ş.
000000000005950,23.03.2026,EV00000764,SLM 2100*2800*18mm RAHLE DERİN(STARWOOD-291),50.00,"1,560.00","78,000.00",AK YAPI ÜRETİM SAN. VE TİC.A.Ş.
000000000005951,23.03.2026,EV00000764,SLM 2100*2800*18mm RAHLE DERİN(STARWOOD-291),10.00,"1,560.00","15,600.00",AK YAPI ÜRETİM SAN. VE TİC.A.Ş.
000000000005951,23.03.2026,MHT0000002,MUHTELİF MDFLAM RAHLE 2100*2800*18MM ,4.00,"2,370.00","9,480.00",AK YAPI ÜRETİM SAN. VE TİC.A.Ş.
000000000000826,23.03.2026,MHT0000003,MUHTELİF PVC ROSE GOLD 22*080MM,"3,750.00",25.54,"95,789.25",ARMADA ORMAN ÜRÜNLERİ VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000002428,23.03.2026,MHT0000002,MUHTELİF MDFLAM,8.00,"1,281.43","10,251.41",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000002428,23.03.2026,MHT0000003,MUHTELİF PVC BEYAZ MEŞE 22*0.8MM,300.00,5.60,"1,678.95",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000002428,23.03.2026,MHT0000003,MUHTELİF PVC BEYAZ MEŞE 22*40MM,150.00,13.80,"2,070.00",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000850,24.03.2026,OF00000523,"PVC 22*0,80 SAHRA NATUREL - YILDIZ ENT. VT651","3.255,00","4,75600","15.480,78",ARMADA ORMAN ÜRÜNLERİ VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000850,24.03.2026,EV00000762,"PVC 22*0,80 KOYU GRİ DOĞAL YZ. (YILDIZ ENT. VT-285)","3.255,00","4,75600","15.480,78",ARMADA ORMAN ÜRÜNLERİ VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000850,"46,105",OF00000550,"PVC 22*0,80 BEYAZ BUTE","3.255,00","4,09120","13.316,86",ARMADA ORMAN ÜRÜNLERİ VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
