BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000003,06.01.2026,1030000007,ICRO LAKE MAT GOFRATO ANTRASİT RAL7016,150.00,KG,224.95,"33,742.80",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,EV00000812,KURU PATİNE,4.00,TNK,"4,860.00","19,440.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,MHT0000008,MUHTELİF BOYA,4.00,TNK,"5,670.00","22,680.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,MHT0000022,MUHTELİF BOYAHANE SARF MALZEME,5.00,TNK,918.00,"4,590.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00000668,SELÜLOZİK BAKIR BOYA,6.00,TNK,"4,200.00","25,200.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00000688,BOYA SÜZGECİ,20.00,AD,41.67,833.33,YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00000819,MDF ASTAR BEYAZ TK.,10.00,TK,"1,890.00","18,900.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00001371,RAL 7022 POLİÜRETAN MAT BOYA + SERTLEŞTİRİCİSİ İLE BİRLİKTE (TAKIM),4.00,TK,"5,490.00","21,960.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00001450,FİLLİ BEYAZ FON ASTAR TAKIM (12KG+3KG SERT),6.00,TK,"1,928.50","11,571.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00001451,FİLLİ SİYAH FON ASTAR TAKIM (12KG+3KG SERT),4.00,TK,"2,094.75","8,379.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000003,06.01.2026,OF00006072,SÜNGER ZIMPARA 180 KUM,6.00,AD,916.67,"5,500.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001160,12.01.2026,MHT0000008,MUHTELİF BOYA,2.00,KG,"10,284.00","20,568.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001160,12.01.2026,MHT0000008,MUHTELİF BOYA,1.00,KG,325.00,325.00,YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001160,12.01.2026,MHT0000008,MUHTELİF BOYA,2.00,KG,"4,140.00","8,280.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001160,12.01.2026,MHT0000008,MUHTELİF BOYA,3.00,KG,350.00,"1,050.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00000180,ÇELİK MACUN,12.00,AD,166.67,"2,000.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00000375,SENTETİK TİNER,6.00,TNK,948.80,"5,692.80",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00000556,KOYU CEVİZ COLOR,4.00,KG,"6,600.00","26,400.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00000618,CİLA BEZİ,800.00,MT,3.50,"2,800.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00000733,"POLYESTER ASTAR BEYAZ RENK TAKIM (10KG+0,5KG HIZ.+0,5 KG SERT.)",8.00,TK,"2,089.80","16,718.39",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00000776,FİLLİ POLİÜRETAN MAT RASA CAPPUCİNO,60.00,KG,381.60,"22,895.83",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00000819,MDF ASTAR BEYAZ TK.,10.00,TK,"2,520.00","25,200.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00000863,AKRİLİK METALİK BAKIR RENGİ BOYA 12KG,4.00,TNK,"2,760.00","11,040.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00001450,FİLLİ BEYAZ FON ASTAR TAKIM (12KG+3KG SERT),6.00,TK,"1,995.00","11,970.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00001458,RAL 9001 BOYA POLİÜRETAN MAT,6.00,KG,"4,140.00","24,840.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000001527,15.01.2026,OF00006279,FİLLİ KAHVERENGİ RAL 7006 MAT BOYA TAKIM (12KG+6KG SERT.),4.00,TK,"5,400.00","21,600.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000033,17.01.2026,MHT0000008,MUHTELİF BOYA,12.00,KG,345.00,"4,140.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000046,22.01.2026,MHT0000008,MUHTELİF BOYA,7.00,KG,350.00,"2,450.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000051,23.01.2026,OF00000372,POLYESTER DOLGU VERNİĞİ,15.00,TNK,"1,986.40","29,796.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000051,23.01.2026,OF00000599,POLÜRETAN DOLGU VERNİĞİ + SERTLEŞTİRİCİSİ İLE BİRLİKTE (TAKIM),15.00,TK,"2,601.00","39,015.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000051,23.01.2026,OF00000733,"POLYESTER ASTAR BEYAZ RENK TAKIM (10KG+0,5KG HIZ.+0,5 KG SERT.)",8.00,TK,"2,089.80","16,718.38",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000051,23.01.2026,OF00000819,MDF ASTAR BEYAZ TK.,20.00,TK,"2,520.00","50,400.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000051,23.01.2026,OF00002335,POLİÜRETAN TİNER,10.00,TNK,"1,418.28","14,182.83",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000054,26.01.2026,OF00000374,SELÜLOZİK TİNER 14KG,60.00,TNK,"1,208.33","72,500.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000054,26.01.2026,OF00000665,PU FULL MAT SİYAH BOYA,6.00,TNK,"4,050.00","24,300.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000054,26.01.2026,OF00000731,AKRİLİK SON KAT VERNİK,20.00,TNK,"3,442.50","68,850.00",YAVUZ BOYA TİCARET VE SAN.LTD.ŞTİ.
000000000000093,30.01.2026,OF00000562,"MEGUARS 105 PASTA 3,75 LT",2.00,AD,"6,200.00","12,400.00",GÜÇLÜ İŞLETMECİLİK OTOM.İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000000093,30.01.2026,OF00006539,MEGUARS PASTA SÜNGERİ,5.00,AD,"2,100.00","10,500.00",GÜÇLÜ İŞLETMECİLİK OTOM.İÇ VE DIŞ TİC.LTD.ŞTİ.
