BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000015,02.01.2026,MHT0000011,MUHTELİF AYNA,4.00,AD,495.00,"1,980.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000010,MUHTELİF CAM,1.00,AD,165.00,165.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,4.00,AD,"1,145.00","4,580.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,8.00,AD,462.00,"3,696.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,2.00,AD,"1,540.00","3,080.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,1.00,AD,"1,690.00","1,690.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,1.00,AD,670.00,670.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,MHT0000011,MUHTELİF AYNA,1.00,AD,895.00,895.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,PRJ0001821,2486*750*4MM RODAJLI DÜZ AYNA,2.00,AD,"1,125.00","2,250.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,PRJ0001829,1198*868*4MM RODAJLI DÜZ AYNA,1.00,AD,730.00,730.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,PRJ0001830,1198*793*4MM RODAJLI DÜZ AYNA,2.00,AD,670.00,"1,340.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,PRJ0001831,2270*780*4MM RODAJLI DÜZ AYNA,1.00,AD,"1,240.00","1,240.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000111,09.01.2026,PRJ0001832,2270*985*4MM RODAJLI DÜZ AYNA,1.00,AD,"1,565.00","1,565.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000106,14.01.2026,MHT0000011,MUHTELİF AYNA,36.00,AD,495.00,"17,820.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000169,14.01.2026,OF00006349,4mm NERVÜRLÜ KAPAK CAMI 1917*397mm,30.00,AD,"1,200.00","36,000.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000173,14.01.2026,OF00006237,4MM EXTRA CLEAR RAFI CAMI RODAJ+TEMPERLİ 511*287mm,38.00,AD,150.00,"5,700.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000173,14.01.2026,OF00006238,4mm BRONZ KAPAK CAMI RODAJ+TEMPERLİ 426*463mm,9.00,AD,112.43,"1,011.83",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000173,14.01.2026,OF00006287,10MM BRONZ CAM BİZOTE+RODAJLI Ø400MM (GRAD YAN SEHPA İÇİN),4.00,AD,430.00,"1,720.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000197,15.01.2026,MHT0000010,MUHTELİF CAM,3.00,AD,"1,150.00","3,450.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000197,15.01.2026,MHT0000010,MUHTELİF CAM,1.00,AD,105.00,105.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000197,15.01.2026,MHT0000010,MUHTELİF CAM,10.00,AD,50.00,500.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000197,15.01.2026,PRJ0001713,1803*503*4MM RODAJLI BRONZ AYNA,1.00,AD,590.00,590.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000197,15.01.2026,PRJ0001798,1945*1434*4 MM RODAJLI BASKILI CAM,1.00,AD,"4,700.00","4,700.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000197,15.01.2026,PRJ0001819,1198*1238*4MM RODAJLI DÜZ AYNA,23.00,AD,965.00,"22,195.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000197,15.01.2026,PRJ0001820,1198*1163*4MM RODAJLI DÜZ AYNA,25.00,AD,905.00,"22,625.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000205,22.01.2026,OF00001441,MERCURA 2424*1080*10MM FÜME RODAJLI TEMPERLİ CAM (ÇALIŞMA MASASI) ŞABLON ÇİZİMİ VAR,2.00,AD,"8,000.00","16,000.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000205,22.01.2026,OF00001442,MERCURA 2646*1080*10MM FÜME RODAJLI TEMPERLİ CAM (TOPLANTI MASASI) ŞABLON ÇİZİMİ VAR,2.00,AD,"8,500.00","17,000.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000205,22.01.2026,OF00001443,MERCURA 2241*322*10MM FÜME RODAJLI TEMPERLİ CAM (KONSOL ÜST CAMI) ŞABLON ÇİZİMİ VAR,2.00,AD,"1,970.00","3,940.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000205,22.01.2026,PRJ0001839,1430*452*4MM RODAJLI DÜZ AYNA,25.00,AD,458.00,"11,450.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000317,23.01.2026,PRJ0001803,Ø 510MM TEMPERLİ 4 MM MERMER DESENLİ CAM,1.00,AD,475.00,475.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000317,23.01.2026,PRJ0001804,Ø370MM TEMPERLİ MERMER DESEN CAM,1.00,AD,285.00,285.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000317,23.01.2026,PRJ0001811,1950*950*10 MM MERMER DESENLİ CAM,1.00,AD,"3,700.00","3,700.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000317,23.01.2026,PRJ0001819,1198*1238*4MM RODAJLI DÜZ AYNA,2.00,AD,965.00,"1,930.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000317,23.01.2026,PRJ0001845,1198*1053*4MM RODAJLI DÜZ AYNA,54.00,AD,765.00,"41,310.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000317,23.01.2026,PRJ0001846,1198*898*4MM RODAJLI DÜZ AYNA,54.00,AD,645.00,"34,830.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000343,26.01.2026,MHT0000010,MUHTELİF CAM,1.00,AD,310.00,310.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000343,26.01.2026,MHT0000011,MUHTELİF AYNA,2.00,AD,225.00,450.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000343,26.01.2026,MHT0000011,MUHTELİF AYNA,2.00,AD,470.00,940.00,KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000377,28.01.2026,MHT0000011,MUHTELİF AYNA,1.00,AD,"1,695.00","1,695.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000286,29.01.2026,PRJ0001670,2648*340*4MM BRONZ TEMPERLİ CAM,22.00,AD,630.00,"13,860.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000286,29.01.2026,PRJ0001748,1211*340*4MM BRONZ CAM TEMPERLİ,92.00,AD,290.00,"26,680.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000286,29.01.2026,PRJ0001817,2642*393*4MM BRONZ CAM TEMPERLİ,158.00,AD,730.00,"115,340.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000286,29.01.2026,PRJ0001818,2642*437*4MM BRONZ CAM TEMPERLİ,71.00,AD,810.00,"57,510.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
