BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000008,06.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,"5,532.87","5,532.87",ALTERNATİF STATİK TOZ BOYA SAN. VE TİC.LTD.ŞTİ.
000000000000014,07.01.2026,OF00001378,"CNC JİLET (TIGRA HM:29,5x12x1,5 T03SMG 4KENAR KESKİN UÇ)",2.00,AD,"1,967.65","3,935.30",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000014,07.01.2026,OF00006056,"CNC JİLET (TIGRA HM:49,5x12x1,5 T03SMG 4KENAR KESKİN UC)",3.00,AD,"2,018.10","6,054.30",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000014,07.01.2026,OF00006541,"CNC JİLET (TIGRA HM:50x12x1,7 T03SMG 4KENAR KESKİN UC)",3.00,AD,"2,749.67","8,249.01",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000014,07.01.2026,OF00006542,"CNC JİLET (TIGRA HM:7,5*12*1,5 T03SMG 2KENAR KESKİN UC)",2.00,AD,832.47,"1,664.94",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000148,07.01.2026,MKN00000002,FAB.GENEL MAKİNA BAKIM SARF MAL.(BOYAHANE BÖLÜMÜ),1.00,AD,"3,679.72","3,679.72",TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000000153,07.01.2026,MKN00000003,FAB.GENEL MAKİNA BAKIM SARF MAL.(ELEKTRİKLİ EL ALETLERİ),1.00,AD,770.00,770.00,TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000000099,08.01.2026,PRJ0001278,ESNEK EMİCİ HORTUM,10.00,MT,470.00,"4,700.00",BAŞKENT HORTUM HİDROLİK REKOR İTH. İHR. SAN. VE TİC.LTD.ŞTİ.
000000000000002,09.01.2026,MHT0000020,MUHTELİF KESİCİ DELİCİ MALZEME (MATKAP-BIÇAK VS),1.00,AD,"2,250.00","2,250.00",AYEKS MAK.END.KES.TAK.PAZ.SAN.TİC.LTDİ.ŞTİ.
000000000000008,09.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,"1,500.00","1,500.00",PINAR GRUP TEKNİK HOR. SU MALZ. İNŞ. SAN. VE TİC.LTD.ŞTİ.
000000000000048,13.01.2026,MHT0000009,MUHTELİF HIRDAVAT,2.00,AD,75.00,150.00,KIRAN BİLYACILIK TİC.VE SAN.LTD.ŞTİ.
000000000000050,13.01.2026,OF00006540,PRIME TOP FREZE BIÇAĞI İÇ Ø30 DIŞ Ø140 H:64 R32 Z4,1.00,AD,"11,850.00","11,850.00",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000007,14.01.2026,MHT0000009,MUHTELİF HIRDAVAT,57.00,AD,130.00,"7,410.00",SULTAN TÜRKOĞLU-YENİ ÇAKIR YAY MAKİNA HIRDAVAT
000000000000210,14.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,950.00,950.00,MCF HİDROLİK PNÖMATİK HOR. MAK. YDK.PARÇA.İML.SAN.TİC.LTD.ŞTİ.
000000000000210,14.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,450.00,450.00,MCF HİDROLİK PNÖMATİK HOR. MAK. YDK.PARÇA.İML.SAN.TİC.LTD.ŞTİ.
000000000000373,14.01.2026,MKN00000005,FAB.GENEL MAKİNA BAKIM SARF MAL.(ŞERİT TESTERE GENEL BAKIM),1.00,AD,"6,500.00","6,500.00",TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000000079,15.01.2026,OF00006547,CNC LİNEER DAR ARABA (HGH 25 CA BGR)KODLU,4.00,AD,410.00,"1,640.00",GÜRBÜZ RULMAN TİC.LTD.ŞTİ.
000000000001267,15.01.2026,MKN00000007,FAB.GENEL MAKİNA BAKIM SARF MAL.(ARGON-AZOT-KARIŞIM-OKSİJEN GAZ),1.00,AD,"2,799.50","2,799.50",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000001156,17.01.2026,MKN00000007,FAB.GENEL MAKİNA BAKIM SARF MAL.(ARGON-AZOT-KARIŞIM-OKSİJEN GAZ),1.00,AD,"1,800.00","1,800.00",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000001463,17.01.2026,MKN00000007,FAB.GENEL MAKİNA BAKIM SARF MAL.(ARGON-AZOT-KARIŞIM-OKSİJEN GAZ),1.00,AD,"8,649.85","8,649.85",VAŞAK GAZ MAKİNA VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000058,19.01.2026,MHT0000030,MUHTELİF BİLEME İŞİ,1.00,AD,"4,009.98","4,009.98",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000059,19.01.2026,MHT0000030,MUHTELİF BİLEME İŞİ,1.00,AD,"5,900.00","5,900.00",ANTESAN ANKARA TESTERE SAN.İTH.İHR.LTD.ŞTİ.
000000000000607,21.01.2026,MKN00000003,FAB.GENEL MAKİNA BAKIM SARF MAL.(ELEKTRİKLİ EL ALETLERİ),1.00,AD,"14,705.12","14,705.12",TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000000293,22.01.2026,OF00001460,"9,5*700 LA SPZ687 LW V KAYIŞ DAİRE TESTERE",10.00,AD,100.00,"1,000.00",ÖZDEMİR KAYIŞ MURAT ÖZDEMİR
000000000000686,22.01.2026,OF00001461,KÖMÜR NO:153 MAKİTA BAŞKESME MAKİNESİ,10.00,AD,200.00,"2,000.00",TEZCAN ELEKTRİK BOBİNAJ İÇ VE DIŞ TİC.LTD.ŞTİ.
000000000000054,23.01.2026,MKN00000004,FAB.GENEL MAKİNA BAKIM SARF MAL.(LAZER CNC SAC KESİM),1.00,AD,"15,018.65","15,018.65",SEZGİN LAZER MAKİNE SAN.VE TİC.LTD.ŞTİ.
000000000000136,23.01.2026,MKN00000006,FAB.GENEL MAKİNA BAKIM SARF MAL.(ÇİFT TARAFLI BANTLAMA MAKİNASI HOMAG),1.00,AD,"175,434.26","175,434.26",DÜRR SYSTEMS MAK.MÜH.PROJ.İTH.İHR.LTD.ŞTİ.
000000000000009,24.01.2026,MKN00000001,FAB.GENEL MAKİNA BAKIM SARF MAL.(TESTERE&BIÇAK&ŞERİT BİLEME),2.00,AD,"10,392.50","20,785.00",SEYİT ALİ TÜRKSEVER (SETSAN BİLEME VE MAK.İMALAT)
