BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000008,"05,01,2026",OF00000348,SİA Ø150  180 KUM DİSK CIRTLI ZIMPARA 7 DELİKLİ,6.00,AD,"1.211,02500","7.266,15",İBRAHİM TAHA ÇÖLLÜOĞLU - ÇÖLLÜOĞLU ZIMPARA
000000000000006,05.01.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,15.00,AD,250.00,"3,750.00",EMRE KARAAĞAÇ-DORA LED AYDINLATMA
000000000000011,05.01.2026,OF00000691,"0,8 mm GAZALTI KAYNAK TELİ",10.00,AD,"1,185.00","11,850.00",ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000013,05.01.2026,OF00000849,PELET ÇUVALI 53*83cm,"2,000.00",AD,4.95,"9,900.00",YÜCELEN PLASTİK AMB.NAK.SAN. VE TİC.LTD.ŞTİ.
000000000000047,05.01.2026,MHT0000009,MUHTELİF HIRDAVAT,10.00,AD,72.00,720.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000047,05.01.2026,OF00000044,TEZGAH BAĞ.ELEMANI 35/M6*150,120.00,AD,32.80,"3,936.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000047,05.01.2026,OF00000815,ÇİFT TARAFLI BANT,1.00,AD,180.00,180.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,18.00,AD,60.00,"1,080.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,4.00,AD,100.00,400.00,ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,12.00,AD,100.00,"1,200.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,8.00,AD,100.00,800.00,ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,56.00,AD,100.00,"5,600.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,16.00,AD,100.00,"1,600.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,12.00,AD,100.00,"1,200.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,25.00,AD,100.00,"2,500.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,3.00,AD,100.00,300.00,ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,3.00,AD,100.00,300.00,ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,10.00,AD,80.00,800.00,ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000137,06.01.2026,OF00001455,GAZLI PİSTON N:40,10.00,AD,54.00,540.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000032,07.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,650.00,650.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000032,07.01.2026,MHT0000009,MUHTELİF HIRDAVAT,2.00,AD,50.00,100.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000032,07.01.2026,OF00006543,KAYNAK MASKESİ ÖN ŞEFFAF CAMI 110*90,40.00,AD,6.00,240.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000032,07.01.2026,OF00006543,KAYNAK MASKESİ ÖN ŞEFFAF CAMI 110*90,20.00,AD,15.00,300.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000063,08.01.2026,OF00000916,AHŞAP TEMİZLİK SOLVENTİ,200.00,KG,71.04,"14,207.06",TEMPA KİMYA VE GIDA SAN.TİC.LTD.ŞTİ
000000000000098,08.01.2026,5500000036,ÖZEL KABLOSUZ ŞARJ CİHAZI-BEYAZ,1.00,AD,709.87,709.87,BUTON LED AYDINLATMA MOBİLYA VE AKS.SAN.TİC.LTD.ŞTİ.
000000000000098,08.01.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,2.00,AD,765.80,"1,531.61",BUTON LED AYDINLATMA MOBİLYA VE AKS.SAN.TİC.LTD.ŞTİ.
000000000001193,08.01.2026,OF00001350,HAFELE ALÜMİNYUM 110° TAM DEVE KAPAK MENTEŞE (312.21.502),124.00,AD,78.09,"9,683.66",HAFELE MOBİLYA VE İNŞAAT DONANIMLARI SAN.VE TİC.A.Ş.
000000000001193,08.01.2026,OF00006234,HAFELE ALÜMINYUM MENTEŞE TABANI AVRUPA VİDALI (312.30.523),124.00,AD,13.09,"1,623.62",HAFELE MOBİLYA VE İNŞAAT DONANIMLARI SAN.VE TİC.A.Ş.
000000000000261,09.01.2026,EV00000102,ÇAĞBERK SOFT HIZ AYARLI YAVAŞLATICI  SET  0017 GRİ,10.00,AD,390.00,"3,900.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000261,09.01.2026,EV00000395,"3,5*50mm SUNTA VİDASI","5,000.00",AD,0.32,"1,600.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000261,09.01.2026,OF00000575,OKYANUS PASİFİK YAPIŞKANLI MINIFIX TAPASI Ø18mm ANTRASİT PC 2546,"1,600.00",AD,0.18,288.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000261,09.01.2026,OF00000615,YAPIŞKANLI KEÇE ZEMİN KORUYUCUSU Ø40mm KAHVERENGİ,600.00,AD,0.79,475.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000061,12.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,"1,600.00","1,600.00",ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000061,12.01.2026,MHT0000009,MUHTELİF HIRDAVAT,10.00,AD,4.50,45.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000061,12.01.2026,MHT0000009,MUHTELİF HIRDAVAT,20.00,AD,0.50,10.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000061,12.01.2026,MHT0000009,MUHTELİF HIRDAVAT,10.00,AD,2.50,25.00,ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000061,12.01.2026,MHT0000009,MUHTELİF HIRDAVAT,10.00,AD,125.00,"1,250.00",ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000406,12.01.2026,OF00000019,MIKNATISLI BAS AÇ BEYAZ (316.04.000),500.00,AD,14.90,"7,450.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000073,13.01.2026,OF00000830,SAPLI TEMİZLİK SÜPÜRGESİ,25.00,AD,280.00,"7,000.00",TEMİZLİK 1 ENDÜSTRİYEL TEM. AMBALAJ MAD. İNŞ. VE TİC.LTD.ŞTİ.
000000000001301,13.01.2026,MHT0000009,MUHTELİF HIRDAVAT,240.00,AD,3.54,849.60,İNANPLAST ELEKTRİK MALZ. MOB. AKS. SAN. VE TİC.LTD.ŞTİ.
000000000000222,14.01.2026,OF00000706,KAPI ALTI FIRÇA METAL BOY 900mm KIL YÜKSEKLİĞİ 30mm TOPLAM YÜKSEKLİK 50mm,100.00,AD,100.00,"10,000.00",REFORM GRUP ALÜMİNYUM PVC YAPI SAN. VE DIŞ.TİC.LTD.ŞTİ.
000000000000224,14.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,325.00,325.00,REFORM GRUP ALÜMİNYUM PVC YAPI SAN. VE DIŞ.TİC.LTD.ŞTİ.
000000000000648,14.01.2026,OF00001425,LED ŞERİT 3 CHİPLİ İÇ MEKAN GÜN IŞIĞI 12 VOLT SİLİKONSUZ KENDİNDEN YAPIŞKANLI,100.00,MT,54.89,"5,488.80",SDS ANKARA YAPI VE REKLAM ÜRÜNLERİ SAN.VE TİC.LTD.ŞTİ.
000000000001296,14.01.2026,PRJ0000679,SAMET 90 DERECE KISA MENTEŞE + TABANI,200.00,AD,31.94,"6,387.67",ORJİNAL TORNA MOB.AKS.İNŞ.PAZ.SAN. VE TİC.LTD.ŞTİ.
000000000000001,17.01.2026,OF00006317,GRAD ALÜMİNYUM KAPAK SİYAH İNCE PÜTÜRLÜ BOYALI (1924*404mm),30.00,AD,788.04,"23,641.20",BEKİR ALPTEKİN
000000000000728,19.01.2026,OF00001459,"30*30*1,5 MM İÇ  GEÇME PLASTİK PAPUÇ SİYAH RENK",100.00,AD,1.50,150.00,ADEM KOÇ PLASTİK TURZ.İNŞ.TEKS.GIDA İML.SAN.VE TİC.LTD.ŞTİ.
000000000002217,19.01.2026,OF00006550,RAL INOX 7890 BONDED BOYA,5.00,KG,375.94,"1,879.68",İBA KİMYA SANAYİ ve TİC.A.Ş.
000000000000829,20.01.2026,OF00000018,MESAN METAL YUVARLAK  TV ALTI  0016C,4.00,AD,250.00,"1,000.00",ADEM KOÇ PLASTİK TURZ.İNŞ.TEKS.GIDA İML.SAN.VE TİC.LTD.ŞTİ.
000000000001051,21.01.2026,OF00001425,LED ŞERİT 3 CHİPLİ İÇ MEKAN GÜN IŞIĞI 12 VOLT SİLİKONSUZ KENDİNDEN YAPIŞKANLI,20.00,MT,56.35,"1,127.07",SDS ANKARA YAPI VE REKLAM ÜRÜNLERİ SAN.VE TİC.LTD.ŞTİ.
000000000001051,21.01.2026,PRJ0001659,12V/15 AMPER  SLİM LED TRAFOSU,2.00,AD,381.47,762.94,SDS ANKARA YAPI VE REKLAM ÜRÜNLERİ SAN.VE TİC.LTD.ŞTİ.
000000000002688,21.01.2026,OF00006550,RAL INOX 7890 BONDED BOYA,5.00,KG,380.18,"1,900.88",İBA KİMYA SANAYİ ve TİC.A.Ş.
000000000073630,21.01.2026,PRJ0000079,"911.62.335 -Hafele Bolt 01 Sürgü Sürerek 19x151mm, Mat Paslanmaz Çelik Renk",30.00,AD,71.00,"2,130.00",BİRLİK MOBİLYA AKSESUARLARI SAN.TİC.LTD.ŞTİ.
000000000000827,22.01.2026,MHT0000009,MUHTELİF HIRDAVAT,20.00,AD,35.00,700.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000002894,22.01.2026,MHT0000009,MUHTELİF HIRDAVAT,2.00,AD,55.68,111.36,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000002894,22.01.2026,OF00001229,"TTR KABLO 3*2,5 mm",100.00,AD,52.40,"5,240.00",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000002986,22.01.2026,OF00000541,"KORDON KABLO 2 X 0,75",300.00,AD,3.35,"1,005.00",TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000002986,22.01.2026,OF00000602,ERKEK FİŞ,20.00,AD,18.50,369.92,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000000293,24.01.2026,OF00000721,MAKET BIÇAĞI UCU,"2,000.00",AD,2.75,"5,500.00",ÖZ DESTEK MAK.İNŞ.MET.CİV.HIRD.İTH.İHR.PAZ.SAN.TİC.LTD.ŞTİ.
000000000001434,26.01.2026,OF00006439,12 VOLT COB LED GÜN IŞIĞI,50.00,MT,86.69,"4,334.63",SDS ANKARA YAPI VE REKLAM ÜRÜNLERİ SAN.VE TİC.LTD.ŞTİ.
000000000001434,26.01.2026,PRJ0000898,LED TRAFOSU 10 AMPER 12 VOLT,4.00,AD,277.42,"1,109.67",SDS ANKARA YAPI VE REKLAM ÜRÜNLERİ SAN.VE TİC.LTD.ŞTİ.
000000000001035,27.01.2026,EV00000106,"3,5*30mm SUNTA VİDASI","30,000.00",AD,0.20,"6,000.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001035,27.01.2026,OF00000194,ŞEFFAF SİLİKON,48.00,AD,140.00,"6,720.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001035,27.01.2026,OF00000539,"MDF VİDASI 3,5*50mm","2,000.00",AD,0.52,"1,040.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001035,27.01.2026,OF00001464,GAZLI PİSTON N:80,6.00,AD,36.00,216.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000003526,27.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,23.68,23.68,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000003526,27.01.2026,OF00000602,ERKEK FİŞ,1.00,AD,121.60,121.60,TAMER ELEKTRİK İMALAT SAN.TİC.LTD.ŞTİ.
000000000001095,28.01.2026,MHT0000009,MUHTELİF HIRDAVAT,2.00,AD,257.00,514.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001095,28.01.2026,MHT0000009,MUHTELİF HIRDAVAT,4.00,AD,345.00,"1,380.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001095,28.01.2026,MHT0000009,MUHTELİF HIRDAVAT,6.00,AD,375.00,"2,250.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000001095,28.01.2026,MHT0000009,MUHTELİF HIRDAVAT,2.00,AD,257.00,514.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
