BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000147,02.01.2026,OF00005091,GÜNDER MADRAS,25.00,MT,263.77,"6,594.25",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000000002,05.01.2026,OF00005090,MUNIPELL MALDIVE,76.64,M2,705.38,"54,060.09",MUNİ PELL DERİ VE TEKSTİL SAN.TİC.LTD.ŞTİ.
000000000000006,06.01.2026,EV00005164,MUHTELİF KUMAŞ,3.00,MT,366.42,"1,099.26",DOKUMOD TEKSTİL LTD.ŞTİ.
000000000000388,07.01.2026,OF00005027,AŞANTEKS VENEDİK,4.00,MT,140.32,561.29,AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000000388,07.01.2026,OF00005028,AŞANTEKS HERA,10.00,MT,184.15,"1,841.50",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000000568,08.01.2026,OF00005047,AŞANTEKS VIVA,26.00,MT,213.35,"5,547.19",AŞANTEKS TEKSTİL SANAYİ VE TİCARET A.Ş.
000000000000771,08.01.2026,OF00005092,GÜNDER ELEGENT,4.50,MT,212.16,954.72,GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000000797,08.01.2026,OF00005094,GÜNDER AREL,17.00,MT,280.35,"4,765.95",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000000797,08.01.2026,OF00005095,GÜNDER LARA,3.00,MT,157.22,471.66,GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000000115,09.01.2026,EV00005164,MUHTELİF KUMAŞ,25.00,MT,251.92,"6,298.08",GRC HOME TEKSTİL OTOM.LTD.ŞTİ.
000000000000115,09.01.2026,EV00005164,MUHTELİF KUMAŞ,5.00,MT,215.32,"1,076.60",GRC HOME TEKSTİL OTOM.LTD.ŞTİ.
000000000000115,09.01.2026,EV00005164,MUHTELİF KUMAŞ,5.00,MT,215.32,"1,076.60",GRC HOME TEKSTİL OTOM.LTD.ŞTİ.
000000000000115,09.01.2026,OF00005065,GÜNDER GÖKTUĞ,14.00,MT,262.19,"3,670.64",GRC HOME TEKSTİL OTOM.LTD.ŞTİ.
