BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000037,02.01.2026,OF00001098,3000*1500*10MM HRP SAC,2.00,PLK,"10,124.41","20,248.82",BİLGİN DEMİR ÇELİK A.Ş.
000000000000300,06.01.2026,OF00001388,3000*1500*8MM HRP SAC,13.00,PLK,"8,327.65","108,259.40",BİLGİN DEMİR ÇELİK A.Ş.
000000000000300,06.01.2026,OF00001446,"16*1,5mm DKP BORU PROFİL",10.00,BOY,122.81,"1,228.12",BİLGİN DEMİR ÇELİK A.Ş.
000000000001671,19.01.2026,HIZ,"ÇAP 76.1,5MM DKP PROFİL",6.00,BOY,88.29,529.76,YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000001671,19.01.2026,OF00000913,"40*30*1,5mm DKP PROFİL",30.00,BOY,287.67,"8,630.03",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000001671,19.01.2026,OF00001099,3000*1500*1MM DKP SAC,5.00,PLK,"1,095.33","5,476.67",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000001671,19.01.2026,OF00001099,3000*1500*1MM DKP SAC,4.00,PLK,"1,095.33","4,381.33",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000001671,19.01.2026,OF00001163,"20*20*1,5MM DKP PROFİL",50.00,BOY,162.45,"8,122.62",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000001671,19.01.2026,OF00001183,3000*1500*3MM HRP SAC,3.00,PLK,"3,016.00","9,048.00",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000001671,19.01.2026,OF00001185,3000*1500*5MM HRP SAC,3.00,PLK,"5,104.00","15,312.00",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000001671,19.01.2026,OF00006426,"30*30*1,5 MM DKP PROFİL",20.00,BOY,248.35,"4,966.94",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000001671,19.01.2026,OF00006512,"30*20*1,5 MM DKP PROFİL",10.00,BOY,206.27,"2,062.74",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000001671,19.01.2026,PRJ0000139,"40*20*1,5MM DKP PROFİL",50.00,BOY,248.35,"12,417.36",YAKUP YILMAZ BORU PROFİL YAPI MALZEMELERİ İNŞAAT MAKİNA DIŞ TİCARET SANAYİ VE TİCARET AŞ.
000000000001955,07.01.2026,MHT0000006,MUHTELİF METAL BORU PROFİL,1.00,BOY,"3,256.57","3,256.57",KUMSAL PASLANMAZ ÇELİK METAL SAN.VE TİC.LTD.ŞTİ.
000000000001955,07.01.2026,OF00003016,"Ø21x1,5 MM PASLANMAZ BORU SATİNE YÜZEY",3.00,BOY,689.54,"2,068.61",KUMSAL PASLANMAZ ÇELİK METAL SAN.VE TİC.LTD.ŞTİ.
000000000001955,07.01.2026,OF00004021,Ø32X1.5 MM PASLANMAZ BORU SATİNE YÜZEY,3.00,BOY,950.37,"2,851.12",KUMSAL PASLANMAZ ÇELİK METAL SAN.VE TİC.LTD.ŞTİ.
