BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000015,02.01.2026,MHT0000011,MUHTELİF AYNA,4.00,AD,495.00,"1,980.00",KARATAŞ AYNA KRİSTAL CAM MOB.İNŞ.TUR.NAK.MET.SAN.VE TİC.LTD.ŞTİ.
000000000000019,02.01.2026,OF00000261,METAL K-80 U AYAK KROM ( CEYHAN / VİRA / DİCLE ) MA-0019,30.00,AD,638.00,"19,140.00",KOMPOSAN OFİS AKSAMLARI SAN. VE TİC.LTD.ŞTİ.
000000000000037,02.01.2026,OF00001098,3000*1500*10MM HRP SAC,2.00,PLK,"10,124.41","20,248.82",BİLGİN DEMİR ÇELİK A.Ş.
000000000000147,02.01.2026,OF00005091,GÜNDER MADRAS,25.00,MT,263.77,"6,594.25",GÜNDER TEKSTİL SAN. VE TİC.LTD.ŞTİ.
000000000000008,"05,01,2026",OF00000348,SİA Ø150  180 KUM DİSK CIRTLI ZIMPARA 7 DELİKLİ,6.00,AD,"1.211,02500","7.266,15",İBRAHİM TAHA ÇÖLLÜOĞLU - ÇÖLLÜOĞLU ZIMPARA
000000000000001,05.01.2026,OF00000337,KOLTUK TEKERİ (BÜYÜK TEKER) SMT-03,"5,000.00",AD,18.50,"92,500.00",ARYA TEKER MOB.AKS.İML.SAN VE TİC.LTD.ŞTİ.
000000000000002,05.01.2026,OF00005090,MUNIPELL MALDIVE,76.64,M2,705.38,"54,060.09",MUNİ PELL DERİ VE TEKSTİL SAN.TİC.LTD.ŞTİ.
000000000000006,05.01.2026,MHT0000021,MUHTELİF ELEKTRİK MALZEMESİ,15.00,AD,250.00,"3,750.00",EMRE KARAAĞAÇ-DORA LED AYDINLATMA
000000000000009,05.01.2026,OF00000221,KONİK YILDIZ AYAK KROM ARMADA KİND,200.00,AD,270.00,"54,000.00",KUZEY MAKİNA PLASTİK VE İNŞ.SAN.DIŞ TİC.LTD.ŞTİ.
000000000000009,05.01.2026,OF00000224,MANAGER YILDIZ AYAK KROM MA-0060,250.00,AD,325.00,"81,250.00",KUZEY MAKİNA PLASTİK VE İNŞ.SAN.DIŞ TİC.LTD.ŞTİ.
000000000000009,05.01.2026,OF00006322,HAM MDF 2100*2800*25MM,50.00,AD,"2,444.84","122,241.82",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000009,05.01.2026,OF00006348,KONTRA KAVAK 14*1700*2200MM,32.00,AD,"1,200.00","38,400.00",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000009,05.01.2026,OF00006348,KONTRA KAVAK 14*1700*2200MM,42.00,AD,"1,200.00","50,400.00",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000009,05.01.2026,PRJ0000700,HAM MDF 1830*3660*18MM,25.00,AD,"1,802.82","45,070.42",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000011,05.01.2026,OF00000691,"0,8 mm GAZALTI KAYNAK TELİ",10.00,AD,"1,185.00","11,850.00",ÖZ GÜVEN CİVATA HIRDAVAT MAKİNE SAN.TİC.LTD.ŞTİ.
000000000000013,05.01.2026,OF00000849,PELET ÇUVALI 53*83cm,"2,000.00",AD,4.95,"9,900.00",YÜCELEN PLASTİK AMB.NAK.SAN. VE TİC.LTD.ŞTİ.
000000000000047,05.01.2026,MHT0000009,MUHTELİF HIRDAVAT,10.00,AD,72.00,720.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000047,05.01.2026,OF00000044,TEZGAH BAĞ.ELEMANI 35/M6*150,120.00,AD,32.80,"3,936.00",ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000047,05.01.2026,OF00000815,ÇİFT TARAFLI BANT,1.00,AD,180.00,180.00,ANDA ANKARA DAĞITIM MOB.AKS.LTD.ŞTİ.
000000000000217,05.01.2026,OF00000641,VENTO MARKA SÜET CIRTLI S1 AYAKKABI (ÜRETİM İŞÇİ AYAKKABISI),5.00,AD,350.00,"1,750.00",ERGÜN MAKİNA VE HIRDAVAT TİC.LTD.ŞTİ.
000000000000217,05.01.2026,OF00000641,VENTO MARKA SÜET CIRTLI S1 AYAKKABI (ÜRETİM İŞÇİ AYAKKABISI),5.00,AD,350.00,"1,750.00",ERGÜN MAKİNA VE HIRDAVAT TİC.LTD.ŞTİ.
000000000000217,05.01.2026,OF00000641,VENTO MARKA SÜET CIRTLI S1 AYAKKABI (ÜRETİM İŞÇİ AYAKKABISI),5.00,AD,350.00,"1,750.00",ERGÜN MAKİNA VE HIRDAVAT TİC.LTD.ŞTİ.
000000000000217,05.01.2026,OF00000641,VENTO MARKA SÜET CIRTLI S1 AYAKKABI (ÜRETİM İŞÇİ AYAKKABISI),5.00,AD,350.00,"1,750.00",ERGÜN MAKİNA VE HIRDAVAT TİC.LTD.ŞTİ.
000000000000217,05.01.2026,OF00000641,VENTO MARKA SÜET CIRTLI S1 AYAKKABI (ÜRETİM İŞÇİ AYAKKABISI),5.00,AD,350.00,"1,750.00",ERGÜN MAKİNA VE HIRDAVAT TİC.LTD.ŞTİ.
000000000000217,05.01.2026,OF00000641,VENTO MARKA SÜET CIRTLI S1 AYAKKABI (ÜRETİM İŞÇİ AYAKKABISI),5.00,AD,350.00,"1,750.00",ERGÜN MAKİNA VE HIRDAVAT TİC.LTD.ŞTİ.
000000000000217,05.01.2026,OF00000641,VENTO MARKA SÜET CIRTLI S1 AYAKKABI (ÜRETİM İŞÇİ AYAKKABISI),5.00,AD,350.00,"1,750.00",ERGÜN MAKİNA VE HIRDAVAT TİC.LTD.ŞTİ.
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,18.00,AD,60.00,"1,080.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,4.00,AD,100.00,400.00,ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,12.00,AD,100.00,"1,200.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,8.00,AD,100.00,800.00,ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,56.00,AD,100.00,"5,600.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,16.00,AD,100.00,"1,600.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,12.00,AD,100.00,"1,200.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,25.00,AD,100.00,"2,500.00",ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
000000000000001,06.01.2026,MHT0000015,MUHTELİF TORNA İŞÇİLİĞİ,3.00,AD,100.00,300.00,ALKAN AĞAÇ TORNA VE MOB.AKS.SAN.-NİGAR AKTAŞ
