BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,AD,50.00,100.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,AD,60.00,120.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,4.00,AD,48.00,192.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,40.00,AD,250.00,"10,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,80.00,AD,250.00,"20,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,AD,350.00,700.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,1.00,AD,350.00,350.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,AD,300.00,600.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,1.00,AD,300.00,300.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,8.00,AD,100.00,800.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,40.00,AD,150.00,"6,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,8.00,AD,120.00,960.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,8.00,AD,120.00,960.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000005,12.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,3.00,AD,200.00,600.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
