BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000009,05.01.2026,OF00006322,HAM MDF 2100*2800*25MM,50.00,AD,"2,444.84","122,241.82",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000009,05.01.2026,OF00006348,KONTRA KAVAK 14*1700*2200MM,32.00,AD,"1,200.00","38,400.00",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000009,05.01.2026,OF00006348,KONTRA KAVAK 14*1700*2200MM,42.00,AD,"1,200.00","50,400.00",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000009,05.01.2026,PRJ0000700,HAM MDF 1830*3660*18MM,25.00,AD,"1,802.82","45,070.42",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000138,07.01.2026,EV00000196,HAM MDF 2100*2800*18MM,55.00,AD,"1,347.09","74,089.72",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000202,08.01.2026,EV00000832,HAM MDF 2100*2800*12MM,50.00,AD,994.80,"49,740.10",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000202,08.01.2026,MHT0000002,MUHTELİF MDFLAM,5.00,AD,"1,785.80","8,929.01",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000202,08.01.2026,MHT0000002,MUHTELİF MDFLAM,8.00,AD,"1,879.79","15,038.35",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000351,08.01.2026,OF00006303,2000*3000*4mm BRONZ PLEKSİ (AKPOLİMER 2220),1.00,AD,"2,791.67","2,791.67",ROTEKSMAT REKLAM TEKS.ÜRÜN.TİC.LTD.ŞTİ.
000000000000133,13.01.2026,OF00000744,30*1MM FIRÇA DESEN ALÜMİNYUM ROSE PVC,315.00,MT,37.85,"11,922.75",ARMADA ORMAN ÜRÜNLERİ VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000328,13.01.2026,EV00000196,HAM MDF 2100*2800*18MM,15.00,AD,"1,279.73","19,196.02",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000328,13.01.2026,OF00004027,HAM MDF 2100*2800*8MM,1.00,AD,758.01,758.01,ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000328,13.01.2026,OF00006194,HAM MDF 2100*2800*10MM,3.00,AD,867.08,"2,601.25",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000636,14.01.2026,OF00006303,2000*3000*4mm BRONZ PLEKSİ (AKPOLİMER 2220),10.00,AD,"5,687.50","56,875.00",ROTEKSMAT REKLAM TEKS.ÜRÜN.TİC.LTD.ŞTİ.
000000000000636,14.01.2026,OF00006303,2000*3000*4mm BRONZ PLEKSİ (AKPOLİMER 2220),10.00,AD,"5,687.50","56,875.00",ROTEKSMAT REKLAM TEKS.ÜRÜN.TİC.LTD.ŞTİ.
000000000000208,20.01.2026,EV00000386,"PVC 22*0,80 SİYAH DOĞAL YZ. (YILDIZ ENT. VT-037)","1,085.00",MT,4.43,"4,810.56",ARMADA ORMAN ÜRÜNLERİ VE HIRDAVAT SAN.TİC.LTD.ŞTİ.
000000000000518,21.01.2026,EV00000196,HAM MDF 2100*2800*18MM,22.00,AD,"1,347.09","29,635.89",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000001135,21.01.2026,MHT0000002,MUHTELİF MDFLAM - FREZYA MDFLAM 210*280 18 MM,3.00,AD,"2,166.67","6,500.00",AK YAPI ÜRETİM SAN. VE TİC.A.Ş.
000000000000524,26.01.2026,EV00000196,HAM MDF 2100*2800*18MM,20.00,AD,"1,347.09","26,941.72",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000524,26.01.2026,EV00000832,HAM MDF 2100*2800*12MM,3.00,AD,994.80,"2,984.41",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000524,26.01.2026,OF00004027,HAM MDF 2100*2800*8MM,3.00,AD,758.01,"2,274.02",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
000000000000524,26.01.2026,OF00006323,HAM MDF 2100*2800*14MM,10.00,AD,"1,253.08","12,530.76",ATEŞ GRUP ORMAN ÜRÜNLERİ TİC. VE SAN.A.Ş.
