BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000018,28.01.2026,MHT0000012,MUHTELİF KROM KAPLAMA İŞÇİLİĞİ,100.00,AD,520.00,"52,000.00",KAPLAN METAL TEL ÜRÜNLERİ VE YÜZEY İŞLEMİ (ÜMÜT KAPLAN)
000000000000018,28.01.2026,MHT0000013,MUHTELİF GOLD KAPLAMA İŞÇİLİĞİ,100.00,AD,250.00,"25,000.00",KAPLAN METAL TEL ÜRÜNLERİ VE YÜZEY İŞLEMİ (ÜMÜT KAPLAN)
000000000000018,28.01.2026,OF00006018,MUHTELİF POLİSAJ İŞİ,400.00,AD,175.00,"70,000.00",KAPLAN METAL TEL ÜRÜNLERİ VE YÜZEY İŞLEMİ (ÜMÜT KAPLAN)
000000000000018,28.01.2026,OF00006039,KAPLAMA İŞÇİLİĞİ NERO TOPLANTI BORU AYAĞI (ÇAP28-BOY-170MM) GOLD KAPLAMA,90.00,AD,100.00,"9,000.00",KAPLAN METAL TEL ÜRÜNLERİ VE YÜZEY İŞLEMİ (ÜMÜT KAPLAN)
000000000000018,28.01.2026,OF00006043,KAPLAMA İŞÇİLİĞİ NERO TOPLANTI MASASI YARIM AY METALİ (660MM*10MM KALINLIK),30.00,AD,250.00,"7,500.00",KAPLAN METAL TEL ÜRÜNLERİ VE YÜZEY İŞLEMİ (ÜMÜT KAPLAN)
000000000000019,02.01.2026,OF00000261,METAL K-80 U AYAK KROM ( CEYHAN / VİRA / DİCLE ) MA-0019,30.00,AD,638.00,"19,140.00",KOMPOSAN OFİS AKSAMLARI SAN. VE TİC.LTD.ŞTİ.
000000000000001,05.01.2026,OF00000337,KOLTUK TEKERİ (BÜYÜK TEKER) SMT-03,"5,000.00",AD,18.50,"92,500.00",ARYA TEKER MOB.AKS.İML.SAN VE TİC.LTD.ŞTİ.
000000000000009,05.01.2026,OF00000221,KONİK YILDIZ AYAK KROM ARMADA KİND,200.00,AD,270.00,"54,000.00",KUZEY MAKİNA PLASTİK VE İNŞ.SAN.DIŞ TİC.LTD.ŞTİ.
000000000000009,05.01.2026,OF00000224,MANAGER YILDIZ AYAK KROM MA-0060,250.00,AD,325.00,"81,250.00",KUZEY MAKİNA PLASTİK VE İNŞ.SAN.DIŞ TİC.LTD.ŞTİ.
000000000000013,06.01.2026,EV00001041,DURAK TEKSTİL POLY 3 KAT İPLİK,21.00,AD,121.07,"2,542.51",DURAT TEKSTİL DEK. MOB. ÜRT. İNŞ. AKS. SAN. TİC. LTD. ŞTİ.
000000000000013,06.01.2026,EV00001180,DURAK TEKSTİL POLY 6 KAT İPLİK 020,24.00,AD,121.07,"2,905.73",DURAT TEKSTİL DEK. MOB. ÜRT. İNŞ. AKS. SAN. TİC. LTD. ŞTİ.
000000000000057,06.01.2026,EV00001097,FERMUAR SİYAH,3.00,TOP,515.00,"1,545.00",YAVUZ SÜNGER A.Ş.
000000000000057,06.01.2026,EV00001224,"RULO D14 SÜNGER 160LIK 1,3CM BEYAZ",6.00,RULO,"2,457.00","14,742.00",YAVUZ SÜNGER A.Ş.
000000000000057,06.01.2026,EV00001246,ELASTİK BEZ KOLON 5CM EKO,"5,000.00",MT,5.25,"26,250.00",YAVUZ SÜNGER A.Ş.
000000000000009,07.01.2026,MHT0000017,MUHTELİF METAL İMALATI,300.00,AD,50.00,"15,000.00",KOORDİNAT MAKİNA SAVUNMA SAN.İTH.İHR.TİC.LTD.ŞTİ.
000000000000009,07.01.2026,OF00002002,TORNA İŞÇİLİĞİ,750.00,AD,55.00,"41,250.00",KOORDİNAT MAKİNA SAVUNMA SAN.İTH.İHR.TİC.LTD.ŞTİ.
000000000000039,09.01.2026,MHT0000046,MUHTELİF DÖŞEMEHANE SARF MAZLEME,200.00,MT,7.00,"1,400.00",ISISAN PLASTİK SAN. VE TİC.LTD.ŞTİ.
000000000000039,09.01.2026,MHT0000046,MUHTELİF DÖŞEMEHANE SARF MAZLEME,150.00,MT,8.90,"1,335.00",ISISAN PLASTİK SAN. VE TİC.LTD.ŞTİ.
000000000000076,12.01.2026,OF00000288,YARASA MEKANİZMA SİNKRON,250.00,AD,858.60,"214,650.00",ALTIN BÜRO DAYANIKLI TÜK.MAL.SAN. VE TİC.LTD.ŞTİ.
000000000000003,16.01.2026,OF00000254,CARBON KOLTUK KOLU SAĞ SOL TAKIM ÜST PLASTİKLER DAHİL (KASALAR KALIP),140.00,TK,950.00,"133,000.00",KASALAR KALIP MOB.OTOM.İNŞ.SAN.VE TİC.LTD.ŞTİ.
000000000000304,16.01.2026,OF00000637,D30 REFLEX SÜNGER 14LÜK 120*240,20.00,AD,"1,290.64","25,812.86",YAVUZ SÜNGER A.Ş.
000000000000304,16.01.2026,OF00000910,D30 REFLEX SÜNGER 12LİK 120*240,20.00,AD,"1,106.27","22,125.31",YAVUZ SÜNGER A.Ş.
000000000000304,16.01.2026,OF00000948,D30 REFLEX SÜNGER 10LUK 120*240,10.00,AD,921.89,"9,218.88",YAVUZ SÜNGER A.Ş.
000000000000323,19.01.2026,OF00000949,D22 GRİ 4.5 LUK 120*240 SÜNGER,66.00,AD,326.85,"21,572.10",YAVUZ SÜNGER A.Ş.
000000000000323,19.01.2026,OF00000950,D22 GRİ 2.5LUK 120*240 SÜNGER,68.00,AD,181.58,"12,347.44",YAVUZ SÜNGER A.Ş.
000000000000323,19.01.2026,OF00000951,D22 GRİ 1.5LİK 120*240 SÜNGER,102.00,AD,108.95,"11,112.90",YAVUZ SÜNGER A.Ş.
000000000000356,19.01.2026,OF00001457,90gr ELYAF,30.00,TOP,945.75,"28,372.50",YAVUZ SÜNGER A.Ş.
000000000000068,21.01.2026,OF00006124,KROM KONİK 80LİK AMORTİSÖR,160.00,AD,115.00,"18,400.00",VERDORO MOBİLYA SAN.VE DIŞ TİC.LTD.ŞTİ.
000000000000408,21.01.2026,OF00006366,"D14 BEYAZ 2,5*140*240 SÜNGER",216.00,AD,147.35,"31,827.60",YAVUZ SÜNGER A.Ş.
000000000000408,21.01.2026,OF00006545,"D14 BEYAZ 1,3*140*240 SÜNGER",210.00,AD,76.62,"16,090.20",YAVUZ SÜNGER A.Ş.
000000000000519,"27,01,2026",OF00000949,D22 GRİ 4.5 LUK 120*240 SÜNGER,50,AD,326.85,"16,342.50",YAVUZ SÜNGER A.Ş.
000000000000519,"27,01,2026",OF00000950,D22 GRİ 2.5LUK 120*240 SÜNGER,90,AD,181.58,"16,342.20",YAVUZ SÜNGER A.Ş.
000000000000588,29.01.2026,EV00001037,TABANCA ÇİVİSİ 80/10,90.00,AD,33.33,"3,000.00",YAVUZ SÜNGER A.Ş.
000000000000588,29.01.2026,EV00001169,TABANCA ÇİVİSİ 80/14,60.00,AD,33.33,"2,000.00",YAVUZ SÜNGER A.Ş.
000000000000588,29.01.2026,EV00001243,TABANCA ÇİVİSİ 80/8,90.00,AD,33.33,"3,000.00",YAVUZ SÜNGER A.Ş.
000000000000588,29.01.2026,OF00000573,U ZIMBA TELİ 92*40*1 MM,60.00,AD,33.33,"2,000.00",YAVUZ SÜNGER A.Ş.
000000000000588,29.01.2026,OF00001250,U ZIMBA TELİ 92*30*1 MM,150.00,AD,33.33,"5,000.00",YAVUZ SÜNGER A.Ş.
000000000000373,26.01.2026,MHT0000009,MUHTELİF HIRDAVAT,1.00,AD,"3,360.00","3,360.00",ŞERİTÇİOĞLU SAN.TİC-İZZET ANCEL ŞERİTÇİOĞLU
000000000000067,26.01.2026,OF00000573,U ZIMBA TELİ 92*40*1 MM,30.00,PK,43.00,"1,290.00",ERDEN İNŞ. SÜNGER VE SÜNGER YATAKLARI LTD.ŞTİ.
000000000000067,26.01.2026,OF00001250,U ZIMBA TELİ 92*30*1 MM,30.00,PK,43.00,"1,290.00",ERDEN İNŞ. SÜNGER VE SÜNGER YATAKLARI LTD.ŞTİ.
